timestamp, power.draw [W]
Fri Mar 13 19:50:49 IST 2026, 229 W
Fri Mar 13 19:50:49 IST 2026, 228 W
Fri Mar 13 19:50:49 IST 2026, 226 W
Fri Mar 13 19:50:49 IST 2026, 233 W
Fri Mar 13 19:50:50 IST 2026, 229 W
Fri Mar 13 19:50:50 IST 2026, 228 W
Fri Mar 13 19:50:50 IST 2026, 227 W
Fri Mar 13 19:50:50 IST 2026, 233 W
Fri Mar 13 19:50:51 IST 2026, 229 W
Fri Mar 13 19:50:51 IST 2026, 228 W
Fri Mar 13 19:50:51 IST 2026, 226 W
Fri Mar 13 19:50:51 IST 2026, 233 W
Fri Mar 13 19:50:52 IST 2026, 229 W
Fri Mar 13 19:50:52 IST 2026, 228 W
Fri Mar 13 19:50:52 IST 2026, 227 W
Fri Mar 13 19:50:52 IST 2026, 232 W
Fri Mar 13 19:50:53 IST 2026, 229 W
Fri Mar 13 19:50:53 IST 2026, 228 W
Fri Mar 13 19:50:53 IST 2026, 226 W
Fri Mar 13 19:50:53 IST 2026, 234 W
Fri Mar 13 19:50:54 IST 2026, 229 W
Fri Mar 13 19:50:54 IST 2026, 228 W
Fri Mar 13 19:50:54 IST 2026, 226 W
Fri Mar 13 19:50:54 IST 2026, 233 W
Fri Mar 13 19:50:55 IST 2026, 229 W
Fri Mar 13 19:50:55 IST 2026, 227 W
Fri Mar 13 19:50:55 IST 2026, 227 W
Fri Mar 13 19:50:55 IST 2026, 233 W
Fri Mar 13 19:50:56 IST 2026, 229 W
Fri Mar 13 19:50:56 IST 2026, 228 W
Fri Mar 13 19:50:56 IST 2026, 227 W
Fri Mar 13 19:50:56 IST 2026, 233 W
Fri Mar 13 19:50:57 IST 2026, 229 W
Fri Mar 13 19:50:57 IST 2026, 228 W
Fri Mar 13 19:50:57 IST 2026, 227 W
Fri Mar 13 19:50:57 IST 2026, 233 W
Fri Mar 13 19:50:58 IST 2026, 229 W
Fri Mar 13 19:50:58 IST 2026, 228 W
Fri Mar 13 19:50:58 IST 2026, 227 W
Fri Mar 13 19:50:58 IST 2026, 233 W
Fri Mar 13 19:50:59 IST 2026, 231 W
Fri Mar 13 19:50:59 IST 2026, 230 W
Fri Mar 13 19:50:59 IST 2026, 228 W
Fri Mar 13 19:50:59 IST 2026, 234 W
Fri Mar 13 19:51:00 IST 2026, 229 W
Fri Mar 13 19:51:00 IST 2026, 228 W
Fri Mar 13 19:51:00 IST 2026, 227 W
Fri Mar 13 19:51:00 IST 2026, 234 W
Fri Mar 13 19:51:01 IST 2026, 229 W
Fri Mar 13 19:51:01 IST 2026, 228 W
Fri Mar 13 19:51:01 IST 2026, 227 W
Fri Mar 13 19:51:01 IST 2026, 234 W
Fri Mar 13 19:51:02 IST 2026, 266 W
Fri Mar 13 19:51:02 IST 2026, 345 W
Fri Mar 13 19:51:02 IST 2026, 300 W
Fri Mar 13 19:51:02 IST 2026, 329 W
Fri Mar 13 19:51:03 IST 2026, 528 W
Fri Mar 13 19:51:03 IST 2026, 527 W
Fri Mar 13 19:51:03 IST 2026, 524 W
Fri Mar 13 19:51:03 IST 2026, 537 W
Fri Mar 13 19:51:04 IST 2026, 234 W
Fri Mar 13 19:51:04 IST 2026, 232 W
Fri Mar 13 19:51:04 IST 2026, 231 W
Fri Mar 13 19:51:04 IST 2026, 238 W
Fri Mar 13 19:51:05 IST 2026, 232 W
Fri Mar 13 19:51:05 IST 2026, 229 W
Fri Mar 13 19:51:05 IST 2026, 229 W
Fri Mar 13 19:51:05 IST 2026, 235 W
Fri Mar 13 19:51:06 IST 2026, 502 W
Fri Mar 13 19:51:06 IST 2026, 500 W
Fri Mar 13 19:51:06 IST 2026, 496 W
Fri Mar 13 19:51:06 IST 2026, 509 W
Fri Mar 13 19:51:07 IST 2026, 237 W
Fri Mar 13 19:51:07 IST 2026, 235 W
Fri Mar 13 19:51:07 IST 2026, 235 W
Fri Mar 13 19:51:07 IST 2026, 242 W
Fri Mar 13 19:51:08 IST 2026, 231 W
Fri Mar 13 19:51:08 IST 2026, 229 W
Fri Mar 13 19:51:08 IST 2026, 227 W
Fri Mar 13 19:51:08 IST 2026, 235 W
Fri Mar 13 19:51:09 IST 2026, 473 W
Fri Mar 13 19:51:09 IST 2026, 473 W
Fri Mar 13 19:51:09 IST 2026, 471 W
Fri Mar 13 19:51:09 IST 2026, 480 W
Fri Mar 13 19:51:10 IST 2026, 231 W
Fri Mar 13 19:51:10 IST 2026, 229 W
Fri Mar 13 19:51:10 IST 2026, 229 W
Fri Mar 13 19:51:10 IST 2026, 235 W
Fri Mar 13 19:51:11 IST 2026, 230 W
Fri Mar 13 19:51:11 IST 2026, 229 W
Fri Mar 13 19:51:11 IST 2026, 227 W
Fri Mar 13 19:51:11 IST 2026, 235 W
Fri Mar 13 19:51:12 IST 2026, 379 W
Fri Mar 13 19:51:12 IST 2026, 384 W
Fri Mar 13 19:51:12 IST 2026, 382 W
Fri Mar 13 19:51:12 IST 2026, 378 W
Fri Mar 13 19:51:13 IST 2026, 233 W
Fri Mar 13 19:51:13 IST 2026, 231 W
Fri Mar 13 19:51:13 IST 2026, 230 W
Fri Mar 13 19:51:13 IST 2026, 237 W
Fri Mar 13 19:51:14 IST 2026, 231 W
Fri Mar 13 19:51:14 IST 2026, 230 W
Fri Mar 13 19:51:14 IST 2026, 228 W
Fri Mar 13 19:51:14 IST 2026, 236 W
Fri Mar 13 19:51:15 IST 2026, 229 W
Fri Mar 13 19:51:15 IST 2026, 228 W
Fri Mar 13 19:51:15 IST 2026, 227 W
Fri Mar 13 19:51:15 IST 2026, 233 W
Fri Mar 13 19:51:16 IST 2026, 523 W
Fri Mar 13 19:51:16 IST 2026, 524 W
Fri Mar 13 19:51:16 IST 2026, 524 W
Fri Mar 13 19:51:16 IST 2026, 532 W
Fri Mar 13 19:51:17 IST 2026, 514 W
Fri Mar 13 19:51:17 IST 2026, 513 W
Fri Mar 13 19:51:17 IST 2026, 513 W
Fri Mar 13 19:51:17 IST 2026, 525 W
Fri Mar 13 19:51:18 IST 2026, 517 W
Fri Mar 13 19:51:18 IST 2026, 518 W
Fri Mar 13 19:51:18 IST 2026, 515 W
Fri Mar 13 19:51:18 IST 2026, 527 W
Fri Mar 13 19:51:19 IST 2026, 464 W
Fri Mar 13 19:51:19 IST 2026, 464 W
Fri Mar 13 19:51:19 IST 2026, 461 W
Fri Mar 13 19:51:19 IST 2026, 470 W
Fri Mar 13 19:51:20 IST 2026, 473 W
Fri Mar 13 19:51:20 IST 2026, 473 W
Fri Mar 13 19:51:20 IST 2026, 472 W
Fri Mar 13 19:51:20 IST 2026, 480 W
Fri Mar 13 19:51:21 IST 2026, 403 W
Fri Mar 13 19:51:21 IST 2026, 397 W
Fri Mar 13 19:51:21 IST 2026, 395 W
Fri Mar 13 19:51:21 IST 2026, 409 W
Fri Mar 13 19:51:22 IST 2026, 404 W
Fri Mar 13 19:51:22 IST 2026, 398 W
Fri Mar 13 19:51:22 IST 2026, 396 W
Fri Mar 13 19:51:22 IST 2026, 410 W
Fri Mar 13 19:51:23 IST 2026, 231 W
Fri Mar 13 19:51:23 IST 2026, 229 W
Fri Mar 13 19:51:23 IST 2026, 228 W
Fri Mar 13 19:51:23 IST 2026, 235 W
Fri Mar 13 19:51:24 IST 2026, 230 W
Fri Mar 13 19:51:24 IST 2026, 229 W
Fri Mar 13 19:51:24 IST 2026, 229 W
Fri Mar 13 19:51:24 IST 2026, 234 W
Fri Mar 13 19:51:25 IST 2026, 525 W
Fri Mar 13 19:51:25 IST 2026, 522 W
Fri Mar 13 19:51:25 IST 2026, 516 W
Fri Mar 13 19:51:25 IST 2026, 534 W
Fri Mar 13 19:51:26 IST 2026, 528 W
Fri Mar 13 19:51:26 IST 2026, 531 W
Fri Mar 13 19:51:26 IST 2026, 528 W
Fri Mar 13 19:51:26 IST 2026, 537 W
Fri Mar 13 19:51:27 IST 2026, 502 W
Fri Mar 13 19:51:27 IST 2026, 515 W
Fri Mar 13 19:51:27 IST 2026, 526 W
Fri Mar 13 19:51:27 IST 2026, 520 W
Fri Mar 13 19:51:28 IST 2026, 528 W
Fri Mar 13 19:51:28 IST 2026, 523 W
Fri Mar 13 19:51:28 IST 2026, 525 W
Fri Mar 13 19:51:28 IST 2026, 537 W
Fri Mar 13 19:51:29 IST 2026, 522 W
Fri Mar 13 19:51:29 IST 2026, 524 W
Fri Mar 13 19:51:29 IST 2026, 521 W
Fri Mar 13 19:51:29 IST 2026, 536 W
Fri Mar 13 19:51:30 IST 2026, 515 W
Fri Mar 13 19:51:30 IST 2026, 517 W
Fri Mar 13 19:51:30 IST 2026, 516 W
Fri Mar 13 19:51:30 IST 2026, 526 W
Fri Mar 13 19:51:31 IST 2026, 456 W
Fri Mar 13 19:51:31 IST 2026, 451 W
Fri Mar 13 19:51:31 IST 2026, 458 W
Fri Mar 13 19:51:31 IST 2026, 461 W
Fri Mar 13 19:51:32 IST 2026, 465 W
Fri Mar 13 19:51:32 IST 2026, 456 W
Fri Mar 13 19:51:32 IST 2026, 462 W
Fri Mar 13 19:51:32 IST 2026, 470 W
Fri Mar 13 19:51:33 IST 2026, 410 W
Fri Mar 13 19:51:33 IST 2026, 408 W
Fri Mar 13 19:51:33 IST 2026, 407 W
Fri Mar 13 19:51:33 IST 2026, 416 W
Fri Mar 13 19:51:34 IST 2026, 232 W
Fri Mar 13 19:51:34 IST 2026, 230 W
Fri Mar 13 19:51:34 IST 2026, 229 W
Fri Mar 13 19:51:34 IST 2026, 235 W
Fri Mar 13 19:51:35 IST 2026, 535 W
Fri Mar 13 19:51:35 IST 2026, 529 W
Fri Mar 13 19:51:35 IST 2026, 529 W
Fri Mar 13 19:51:35 IST 2026, 540 W
Fri Mar 13 19:51:36 IST 2026, 528 W
Fri Mar 13 19:51:36 IST 2026, 528 W
Fri Mar 13 19:51:36 IST 2026, 524 W
Fri Mar 13 19:51:36 IST 2026, 536 W
Fri Mar 13 19:51:37 IST 2026, 525 W
Fri Mar 13 19:51:37 IST 2026, 523 W
Fri Mar 13 19:51:37 IST 2026, 526 W
Fri Mar 13 19:51:37 IST 2026, 534 W
Fri Mar 13 19:51:38 IST 2026, 516 W
Fri Mar 13 19:51:38 IST 2026, 518 W
Fri Mar 13 19:51:38 IST 2026, 517 W
Fri Mar 13 19:51:38 IST 2026, 528 W
Fri Mar 13 19:51:39 IST 2026, 484 W
Fri Mar 13 19:51:39 IST 2026, 482 W
Fri Mar 13 19:51:39 IST 2026, 487 W
Fri Mar 13 19:51:39 IST 2026, 494 W
Fri Mar 13 19:51:40 IST 2026, 479 W
Fri Mar 13 19:51:40 IST 2026, 480 W
Fri Mar 13 19:51:40 IST 2026, 477 W
Fri Mar 13 19:51:40 IST 2026, 486 W
Fri Mar 13 19:51:41 IST 2026, 232 W
Fri Mar 13 19:51:41 IST 2026, 230 W
Fri Mar 13 19:51:41 IST 2026, 229 W
Fri Mar 13 19:51:41 IST 2026, 236 W
Fri Mar 13 19:51:42 IST 2026, 534 W
Fri Mar 13 19:51:42 IST 2026, 534 W
Fri Mar 13 19:51:42 IST 2026, 532 W
Fri Mar 13 19:51:42 IST 2026, 542 W
Fri Mar 13 19:51:43 IST 2026, 533 W
Fri Mar 13 19:51:43 IST 2026, 530 W
Fri Mar 13 19:51:43 IST 2026, 530 W
Fri Mar 13 19:51:43 IST 2026, 540 W
Fri Mar 13 19:51:44 IST 2026, 518 W
Fri Mar 13 19:51:44 IST 2026, 517 W
Fri Mar 13 19:51:44 IST 2026, 515 W
Fri Mar 13 19:51:44 IST 2026, 526 W
Fri Mar 13 19:51:45 IST 2026, 520 W
Fri Mar 13 19:51:45 IST 2026, 516 W
Fri Mar 13 19:51:45 IST 2026, 517 W
Fri Mar 13 19:51:45 IST 2026, 525 W
Fri Mar 13 19:51:46 IST 2026, 486 W
Fri Mar 13 19:51:46 IST 2026, 486 W
Fri Mar 13 19:51:46 IST 2026, 484 W
Fri Mar 13 19:51:46 IST 2026, 495 W
Fri Mar 13 19:51:47 IST 2026, 481 W
Fri Mar 13 19:51:47 IST 2026, 481 W
Fri Mar 13 19:51:47 IST 2026, 482 W
Fri Mar 13 19:51:47 IST 2026, 489 W
Fri Mar 13 19:51:48 IST 2026, 484 W
Fri Mar 13 19:51:48 IST 2026, 480 W
Fri Mar 13 19:51:48 IST 2026, 482 W
Fri Mar 13 19:51:48 IST 2026, 492 W
Fri Mar 13 19:51:49 IST 2026, 488 W
