timestamp, power.draw [W]
Sat Mar 14 13:36:30 IST 2026, 227 W
Sat Mar 14 13:36:30 IST 2026, 225 W
Sat Mar 14 13:36:31 IST 2026, 227 W
Sat Mar 14 13:36:31 IST 2026, 225 W
Sat Mar 14 13:36:32 IST 2026, 227 W
Sat Mar 14 13:36:32 IST 2026, 225 W
Sat Mar 14 13:36:33 IST 2026, 227 W
Sat Mar 14 13:36:33 IST 2026, 225 W
Sat Mar 14 13:36:34 IST 2026, 227 W
Sat Mar 14 13:36:34 IST 2026, 225 W
Sat Mar 14 13:36:35 IST 2026, 227 W
Sat Mar 14 13:36:35 IST 2026, 225 W
Sat Mar 14 13:36:36 IST 2026, 227 W
Sat Mar 14 13:36:36 IST 2026, 225 W
Sat Mar 14 13:36:37 IST 2026, 227 W
Sat Mar 14 13:36:37 IST 2026, 225 W
Sat Mar 14 13:36:38 IST 2026, 228 W
Sat Mar 14 13:36:38 IST 2026, 226 W
Sat Mar 14 13:36:39 IST 2026, 227 W
Sat Mar 14 13:36:39 IST 2026, 226 W
Sat Mar 14 13:36:40 IST 2026, 229 W
Sat Mar 14 13:36:40 IST 2026, 226 W
Sat Mar 14 13:36:41 IST 2026, 237 W
Sat Mar 14 13:36:41 IST 2026, 229 W
Sat Mar 14 13:36:42 IST 2026, 230 W
Sat Mar 14 13:36:42 IST 2026, 226 W
Sat Mar 14 13:36:43 IST 2026, 619 W
Sat Mar 14 13:36:43 IST 2026, 613 W
Sat Mar 14 13:36:44 IST 2026, 617 W
Sat Mar 14 13:36:44 IST 2026, 615 W
Sat Mar 14 13:36:45 IST 2026, 620 W
Sat Mar 14 13:36:45 IST 2026, 610 W
Sat Mar 14 13:36:46 IST 2026, 230 W
Sat Mar 14 13:36:46 IST 2026, 227 W
Sat Mar 14 13:36:47 IST 2026, 500 W
Sat Mar 14 13:36:47 IST 2026, 377 W
Sat Mar 14 13:36:48 IST 2026, 607 W
Sat Mar 14 13:36:48 IST 2026, 605 W
Sat Mar 14 13:36:49 IST 2026, 604 W
Sat Mar 14 13:36:49 IST 2026, 602 W
Sat Mar 14 13:36:50 IST 2026, 606 W
Sat Mar 14 13:36:50 IST 2026, 599 W
Sat Mar 14 13:36:51 IST 2026, 605 W
Sat Mar 14 13:36:51 IST 2026, 599 W
Sat Mar 14 13:36:52 IST 2026, 231 W
Sat Mar 14 13:36:52 IST 2026, 229 W
Sat Mar 14 13:36:53 IST 2026, 230 W
Sat Mar 14 13:36:53 IST 2026, 227 W
Sat Mar 14 13:36:54 IST 2026, 591 W
Sat Mar 14 13:36:54 IST 2026, 582 W
Sat Mar 14 13:36:55 IST 2026, 230 W
Sat Mar 14 13:36:55 IST 2026, 227 W
Sat Mar 14 13:36:56 IST 2026, 230 W
Sat Mar 14 13:36:56 IST 2026, 274 W
Sat Mar 14 13:36:57 IST 2026, 560 W
Sat Mar 14 13:36:57 IST 2026, 552 W
Sat Mar 14 13:36:58 IST 2026, 230 W
Sat Mar 14 13:36:58 IST 2026, 227 W
Sat Mar 14 13:36:59 IST 2026, 230 W
Sat Mar 14 13:36:59 IST 2026, 227 W
Sat Mar 14 13:37:00 IST 2026, 229 W
Sat Mar 14 13:37:00 IST 2026, 227 W
Sat Mar 14 13:37:01 IST 2026, 229 W
Sat Mar 14 13:37:01 IST 2026, 227 W
Sat Mar 14 13:37:02 IST 2026, 227 W
Sat Mar 14 13:37:02 IST 2026, 225 W
Sat Mar 14 13:37:03 IST 2026, 620 W
Sat Mar 14 13:37:03 IST 2026, 615 W
Sat Mar 14 13:37:04 IST 2026, 619 W
Sat Mar 14 13:37:04 IST 2026, 613 W
Sat Mar 14 13:37:05 IST 2026, 618 W
Sat Mar 14 13:37:05 IST 2026, 613 W
Sat Mar 14 13:37:06 IST 2026, 616 W
Sat Mar 14 13:37:06 IST 2026, 613 W
Sat Mar 14 13:37:07 IST 2026, 610 W
Sat Mar 14 13:37:07 IST 2026, 607 W
Sat Mar 14 13:37:08 IST 2026, 611 W
Sat Mar 14 13:37:08 IST 2026, 605 W
Sat Mar 14 13:37:09 IST 2026, 611 W
Sat Mar 14 13:37:09 IST 2026, 606 W
Sat Mar 14 13:37:10 IST 2026, 597 W
Sat Mar 14 13:37:10 IST 2026, 596 W
Sat Mar 14 13:37:11 IST 2026, 591 W
Sat Mar 14 13:37:11 IST 2026, 583 W
Sat Mar 14 13:37:12 IST 2026, 558 W
Sat Mar 14 13:37:12 IST 2026, 555 W
Sat Mar 14 13:37:13 IST 2026, 560 W
Sat Mar 14 13:37:13 IST 2026, 557 W
Sat Mar 14 13:37:14 IST 2026, 560 W
Sat Mar 14 13:37:14 IST 2026, 557 W
Sat Mar 14 13:37:15 IST 2026, 509 W
Sat Mar 14 13:37:15 IST 2026, 507 W
Sat Mar 14 13:37:16 IST 2026, 509 W
Sat Mar 14 13:37:16 IST 2026, 504 W
Sat Mar 14 13:37:17 IST 2026, 510 W
Sat Mar 14 13:37:17 IST 2026, 506 W
Sat Mar 14 13:37:18 IST 2026, 231 W
Sat Mar 14 13:37:18 IST 2026, 229 W
Sat Mar 14 13:37:19 IST 2026, 229 W
Sat Mar 14 13:37:19 IST 2026, 227 W
Sat Mar 14 13:37:20 IST 2026, 231 W
Sat Mar 14 13:37:20 IST 2026, 241 W
Sat Mar 14 13:37:21 IST 2026, 621 W
Sat Mar 14 13:37:21 IST 2026, 616 W
Sat Mar 14 13:37:22 IST 2026, 621 W
Sat Mar 14 13:37:22 IST 2026, 616 W
Sat Mar 14 13:37:23 IST 2026, 620 W
Sat Mar 14 13:37:23 IST 2026, 617 W
Sat Mar 14 13:37:24 IST 2026, 609 W
Sat Mar 14 13:37:24 IST 2026, 606 W
Sat Mar 14 13:37:25 IST 2026, 610 W
Sat Mar 14 13:37:25 IST 2026, 606 W
Sat Mar 14 13:37:26 IST 2026, 606 W
Sat Mar 14 13:37:26 IST 2026, 600 W
Sat Mar 14 13:37:27 IST 2026, 585 W
Sat Mar 14 13:37:27 IST 2026, 587 W
Sat Mar 14 13:37:28 IST 2026, 592 W
Sat Mar 14 13:37:28 IST 2026, 586 W
Sat Mar 14 13:37:29 IST 2026, 591 W
Sat Mar 14 13:37:29 IST 2026, 585 W
Sat Mar 14 13:37:30 IST 2026, 589 W
Sat Mar 14 13:37:30 IST 2026, 582 W
Sat Mar 14 13:37:31 IST 2026, 559 W
Sat Mar 14 13:37:31 IST 2026, 564 W
Sat Mar 14 13:37:32 IST 2026, 561 W
Sat Mar 14 13:37:32 IST 2026, 556 W
Sat Mar 14 13:37:33 IST 2026, 564 W
Sat Mar 14 13:37:33 IST 2026, 563 W
Sat Mar 14 13:37:34 IST 2026, 478 W
Sat Mar 14 13:37:34 IST 2026, 476 W
Sat Mar 14 13:37:35 IST 2026, 487 W
Sat Mar 14 13:37:35 IST 2026, 498 W
Sat Mar 14 13:37:36 IST 2026, 231 W
Sat Mar 14 13:37:36 IST 2026, 229 W
Sat Mar 14 13:37:37 IST 2026, 621 W
Sat Mar 14 13:37:37 IST 2026, 616 W
Sat Mar 14 13:37:38 IST 2026, 619 W
Sat Mar 14 13:37:38 IST 2026, 617 W
Sat Mar 14 13:37:39 IST 2026, 614 W
Sat Mar 14 13:37:39 IST 2026, 613 W
Sat Mar 14 13:37:40 IST 2026, 606 W
Sat Mar 14 13:37:40 IST 2026, 597 W
Sat Mar 14 13:37:41 IST 2026, 606 W
Sat Mar 14 13:37:41 IST 2026, 598 W
Sat Mar 14 13:37:42 IST 2026, 604 W
Sat Mar 14 13:37:42 IST 2026, 600 W
Sat Mar 14 13:37:43 IST 2026, 588 W
Sat Mar 14 13:37:43 IST 2026, 585 W
Sat Mar 14 13:37:44 IST 2026, 583 W
Sat Mar 14 13:37:44 IST 2026, 582 W
Sat Mar 14 13:37:45 IST 2026, 590 W
Sat Mar 14 13:37:45 IST 2026, 587 W
Sat Mar 14 13:37:46 IST 2026, 588 W
Sat Mar 14 13:37:46 IST 2026, 587 W
Sat Mar 14 13:37:47 IST 2026, 590 W
Sat Mar 14 13:37:47 IST 2026, 585 W
Sat Mar 14 13:37:48 IST 2026, 561 W
Sat Mar 14 13:37:48 IST 2026, 559 W
Sat Mar 14 13:37:49 IST 2026, 567 W
Sat Mar 14 13:37:49 IST 2026, 563 W
Sat Mar 14 13:37:50 IST 2026, 563 W
Sat Mar 14 13:37:50 IST 2026, 561 W
Sat Mar 14 13:37:51 IST 2026, 567 W
Sat Mar 14 13:37:51 IST 2026, 563 W
Sat Mar 14 13:37:52 IST 2026, 513 W
Sat Mar 14 13:37:52 IST 2026, 508 W
Sat Mar 14 13:37:53 IST 2026, 231 W
Sat Mar 14 13:37:53 IST 2026, 228 W
Sat Mar 14 13:37:54 IST 2026, 229 W
Sat Mar 14 13:37:54 IST 2026, 229 W
Sat Mar 14 13:37:55 IST 2026, 229 W
Sat Mar 14 13:37:55 IST 2026, 227 W
Sat Mar 14 13:37:56 IST 2026, 616 W
Sat Mar 14 13:37:56 IST 2026, 611 W
Sat Mar 14 13:37:57 IST 2026, 612 W
Sat Mar 14 13:37:57 IST 2026, 610 W
Sat Mar 14 13:37:58 IST 2026, 604 W
Sat Mar 14 13:37:58 IST 2026, 600 W
Sat Mar 14 13:37:59 IST 2026, 605 W
Sat Mar 14 13:37:59 IST 2026, 599 W
Sat Mar 14 13:38:00 IST 2026, 589 W
Sat Mar 14 13:38:00 IST 2026, 581 W
Sat Mar 14 13:38:01 IST 2026, 591 W
Sat Mar 14 13:38:01 IST 2026, 585 W
Sat Mar 14 13:38:02 IST 2026, 590 W
Sat Mar 14 13:38:02 IST 2026, 584 W
Sat Mar 14 13:38:03 IST 2026, 586 W
Sat Mar 14 13:38:03 IST 2026, 583 W
