timestamp, power.draw [W]
Sat Mar 14 13:09:18 IST 2026, 227 W
Sat Mar 14 13:09:18 IST 2026, 227 W
Sat Mar 14 13:09:19 IST 2026, 227 W
Sat Mar 14 13:09:19 IST 2026, 227 W
Sat Mar 14 13:09:20 IST 2026, 227 W
Sat Mar 14 13:09:20 IST 2026, 227 W
Sat Mar 14 13:09:21 IST 2026, 227 W
Sat Mar 14 13:09:21 IST 2026, 227 W
Sat Mar 14 13:09:22 IST 2026, 227 W
Sat Mar 14 13:09:22 IST 2026, 227 W
Sat Mar 14 13:09:23 IST 2026, 227 W
Sat Mar 14 13:09:23 IST 2026, 227 W
Sat Mar 14 13:09:24 IST 2026, 227 W
Sat Mar 14 13:09:24 IST 2026, 227 W
Sat Mar 14 13:09:25 IST 2026, 227 W
Sat Mar 14 13:09:25 IST 2026, 227 W
Sat Mar 14 13:09:26 IST 2026, 227 W
Sat Mar 14 13:09:26 IST 2026, 227 W
Sat Mar 14 13:09:27 IST 2026, 227 W
Sat Mar 14 13:09:27 IST 2026, 227 W
Sat Mar 14 13:09:28 IST 2026, 227 W
Sat Mar 14 13:09:28 IST 2026, 230 W
Sat Mar 14 13:09:29 IST 2026, 436 W
Sat Mar 14 13:09:29 IST 2026, 352 W
Sat Mar 14 13:09:30 IST 2026, 229 W
Sat Mar 14 13:09:30 IST 2026, 230 W
Sat Mar 14 13:09:31 IST 2026, 602 W
Sat Mar 14 13:09:31 IST 2026, 599 W
Sat Mar 14 13:09:32 IST 2026, 607 W
Sat Mar 14 13:09:32 IST 2026, 602 W
Sat Mar 14 13:09:33 IST 2026, 604 W
Sat Mar 14 13:09:33 IST 2026, 598 W
Sat Mar 14 13:09:34 IST 2026, 603 W
Sat Mar 14 13:09:34 IST 2026, 596 W
Sat Mar 14 13:09:35 IST 2026, 231 W
Sat Mar 14 13:09:35 IST 2026, 231 W
Sat Mar 14 13:09:36 IST 2026, 229 W
Sat Mar 14 13:09:36 IST 2026, 229 W
Sat Mar 14 13:09:37 IST 2026, 588 W
Sat Mar 14 13:09:37 IST 2026, 586 W
Sat Mar 14 13:09:38 IST 2026, 583 W
Sat Mar 14 13:09:38 IST 2026, 576 W
Sat Mar 14 13:09:39 IST 2026, 231 W
Sat Mar 14 13:09:39 IST 2026, 230 W
Sat Mar 14 13:09:40 IST 2026, 239 W
Sat Mar 14 13:09:40 IST 2026, 275 W
Sat Mar 14 13:09:41 IST 2026, 229 W
Sat Mar 14 13:09:41 IST 2026, 230 W
