timestamp, power.draw [W]
Tue Nov 18 19:19:25 IST 2025, 226 W
Tue Nov 18 19:19:26 IST 2025, 226 W
Tue Nov 18 19:19:27 IST 2025, 226 W
Tue Nov 18 19:19:28 IST 2025, 225 W
Tue Nov 18 19:19:29 IST 2025, 226 W
Tue Nov 18 19:19:30 IST 2025, 225 W
Tue Nov 18 19:19:31 IST 2025, 226 W
Tue Nov 18 19:19:32 IST 2025, 226 W
Tue Nov 18 19:19:33 IST 2025, 226 W
Tue Nov 18 19:19:34 IST 2025, 226 W
Tue Nov 18 19:19:35 IST 2025, 225 W
Tue Nov 18 19:19:36 IST 2025, 225 W
Tue Nov 18 19:19:37 IST 2025, 225 W
Tue Nov 18 19:19:38 IST 2025, 226 W
Tue Nov 18 19:19:39 IST 2025, 225 W
Tue Nov 18 19:19:40 IST 2025, 226 W
Tue Nov 18 19:19:41 IST 2025, 226 W
Tue Nov 18 19:19:42 IST 2025, 226 W
Tue Nov 18 19:19:43 IST 2025, 226 W
Tue Nov 18 19:19:44 IST 2025, 226 W
Tue Nov 18 19:19:45 IST 2025, 226 W
Tue Nov 18 19:19:46 IST 2025, 226 W
Tue Nov 18 19:19:47 IST 2025, 225 W
Tue Nov 18 19:19:48 IST 2025, 226 W
Tue Nov 18 19:19:49 IST 2025, 226 W
Tue Nov 18 19:19:50 IST 2025, 226 W
Tue Nov 18 19:19:51 IST 2025, 225 W
Tue Nov 18 19:19:52 IST 2025, 225 W
Tue Nov 18 19:19:53 IST 2025, 226 W
Tue Nov 18 19:19:54 IST 2025, 226 W
Tue Nov 18 19:19:55 IST 2025, 226 W
Tue Nov 18 19:19:56 IST 2025, 226 W
Tue Nov 18 19:19:57 IST 2025, 225 W
Tue Nov 18 19:19:58 IST 2025, 226 W
Tue Nov 18 19:19:59 IST 2025, 226 W
Tue Nov 18 19:20:00 IST 2025, 226 W
Tue Nov 18 19:20:01 IST 2025, 226 W
Tue Nov 18 19:20:02 IST 2025, 225 W
Tue Nov 18 19:20:03 IST 2025, 226 W
Tue Nov 18 19:20:04 IST 2025, 226 W
Tue Nov 18 19:20:05 IST 2025, 226 W
Tue Nov 18 19:20:06 IST 2025, 225 W
Tue Nov 18 19:20:07 IST 2025, 225 W
Tue Nov 18 19:20:08 IST 2025, 226 W
Tue Nov 18 19:20:09 IST 2025, 226 W
Tue Nov 18 19:20:10 IST 2025, 225 W
Tue Nov 18 19:20:11 IST 2025, 226 W
Tue Nov 18 19:20:12 IST 2025, 226 W
Tue Nov 18 19:20:13 IST 2025, 226 W
Tue Nov 18 19:20:14 IST 2025, 226 W
Tue Nov 18 19:20:15 IST 2025, 225 W
Tue Nov 18 19:20:16 IST 2025, 226 W
Tue Nov 18 19:20:17 IST 2025, 226 W
Tue Nov 18 19:20:18 IST 2025, 226 W
Tue Nov 18 19:20:19 IST 2025, 226 W
Tue Nov 18 19:20:20 IST 2025, 225 W
Tue Nov 18 19:20:21 IST 2025, 226 W
Tue Nov 18 19:20:22 IST 2025, 226 W
Tue Nov 18 19:20:23 IST 2025, 226 W
Tue Nov 18 19:20:24 IST 2025, 226 W
Tue Nov 18 19:20:25 IST 2025, 226 W
Tue Nov 18 19:20:26 IST 2025, 226 W
Tue Nov 18 19:20:27 IST 2025, 226 W
Tue Nov 18 19:20:28 IST 2025, 226 W
Tue Nov 18 19:20:29 IST 2025, 226 W
Tue Nov 18 19:20:30 IST 2025, 226 W
Tue Nov 18 19:20:31 IST 2025, 226 W
Tue Nov 18 19:20:32 IST 2025, 225 W
Tue Nov 18 19:20:33 IST 2025, 225 W
Tue Nov 18 19:20:34 IST 2025, 243 W
Tue Nov 18 19:20:35 IST 2025, 228 W
Tue Nov 18 19:20:36 IST 2025, 228 W
Tue Nov 18 19:20:37 IST 2025, 226 W
Tue Nov 18 19:20:38 IST 2025, 226 W
Tue Nov 18 19:20:39 IST 2025, 226 W
Tue Nov 18 19:20:40 IST 2025, 226 W
Tue Nov 18 19:20:41 IST 2025, 227 W
Tue Nov 18 19:20:42 IST 2025, 227 W
Tue Nov 18 19:20:43 IST 2025, 449 W
Tue Nov 18 19:20:44 IST 2025, 230 W
Tue Nov 18 19:20:45 IST 2025, 228 W
Tue Nov 18 19:20:46 IST 2025, 519 W
Tue Nov 18 19:20:47 IST 2025, 517 W
Tue Nov 18 19:20:48 IST 2025, 514 W
Tue Nov 18 19:20:49 IST 2025, 516 W
Tue Nov 18 19:20:50 IST 2025, 227 W
Tue Nov 18 19:20:51 IST 2025, 527 W
Tue Nov 18 19:20:52 IST 2025, 227 W
Tue Nov 18 19:20:53 IST 2025, 228 W
Tue Nov 18 19:20:54 IST 2025, 546 W
Tue Nov 18 19:20:55 IST 2025, 544 W
Tue Nov 18 19:20:56 IST 2025, 548 W
Tue Nov 18 19:20:57 IST 2025, 549 W
Tue Nov 18 19:20:58 IST 2025, 548 W
Tue Nov 18 19:20:59 IST 2025, 541 W
Tue Nov 18 19:21:00 IST 2025, 543 W
Tue Nov 18 19:21:01 IST 2025, 546 W
Tue Nov 18 19:21:02 IST 2025, 550 W
Tue Nov 18 19:21:03 IST 2025, 547 W
Tue Nov 18 19:21:04 IST 2025, 228 W
Tue Nov 18 19:21:05 IST 2025, 227 W
Tue Nov 18 19:21:06 IST 2025, 226 W
Tue Nov 18 19:21:07 IST 2025, 227 W
