timestamp, power.draw [W]
Tue Nov 18 20:20:42 IST 2025, 244 W
Tue Nov 18 20:20:43 IST 2025, 228 W
Tue Nov 18 20:20:44 IST 2025, 227 W
Tue Nov 18 20:20:45 IST 2025, 227 W
Tue Nov 18 20:20:46 IST 2025, 227 W
Tue Nov 18 20:20:47 IST 2025, 227 W
Tue Nov 18 20:20:48 IST 2025, 227 W
Tue Nov 18 20:20:49 IST 2025, 692 W
Tue Nov 18 20:20:50 IST 2025, 264 W
Tue Nov 18 20:20:51 IST 2025, 229 W
Tue Nov 18 20:20:52 IST 2025, 515 W
Tue Nov 18 20:20:53 IST 2025, 512 W
Tue Nov 18 20:20:54 IST 2025, 228 W
Tue Nov 18 20:20:55 IST 2025, 526 W
Tue Nov 18 20:20:56 IST 2025, 536 W
Tue Nov 18 20:20:57 IST 2025, 552 W
Tue Nov 18 20:20:58 IST 2025, 549 W
Tue Nov 18 20:20:59 IST 2025, 228 W
Tue Nov 18 20:21:00 IST 2025, 228 W
Tue Nov 18 20:21:01 IST 2025, 227 W
Tue Nov 18 20:21:02 IST 2025, 227 W
Tue Nov 18 20:21:03 IST 2025, 561 W
Tue Nov 18 20:21:04 IST 2025, 811 W
Tue Nov 18 20:21:05 IST 2025, 525 W
Tue Nov 18 20:21:06 IST 2025, 517 W
Tue Nov 18 20:21:07 IST 2025, 525 W
Tue Nov 18 20:21:08 IST 2025, 524 W
Tue Nov 18 20:21:09 IST 2025, 536 W
Tue Nov 18 20:21:10 IST 2025, 535 W
Tue Nov 18 20:21:11 IST 2025, 538 W
Tue Nov 18 20:21:12 IST 2025, 550 W
Tue Nov 18 20:21:13 IST 2025, 548 W
Tue Nov 18 20:21:14 IST 2025, 550 W
Tue Nov 18 20:21:15 IST 2025, 551 W
Tue Nov 18 20:21:16 IST 2025, 550 W
Tue Nov 18 20:21:17 IST 2025, 545 W
Tue Nov 18 20:21:18 IST 2025, 548 W
Tue Nov 18 20:21:19 IST 2025, 546 W
Tue Nov 18 20:21:20 IST 2025, 550 W
Tue Nov 18 20:21:21 IST 2025, 227 W
Tue Nov 18 20:21:22 IST 2025, 227 W
Tue Nov 18 20:21:23 IST 2025, 227 W
Tue Nov 18 20:21:24 IST 2025, 227 W
Tue Nov 18 20:21:25 IST 2025, 635 W
Tue Nov 18 20:21:26 IST 2025, 497 W
Tue Nov 18 20:21:27 IST 2025, 515 W
Tue Nov 18 20:21:28 IST 2025, 509 W
Tue Nov 18 20:21:29 IST 2025, 526 W
Tue Nov 18 20:21:30 IST 2025, 518 W
Tue Nov 18 20:21:31 IST 2025, 538 W
Tue Nov 18 20:21:32 IST 2025, 551 W
Tue Nov 18 20:21:33 IST 2025, 550 W
Tue Nov 18 20:21:34 IST 2025, 548 W
Tue Nov 18 20:21:35 IST 2025, 552 W
Tue Nov 18 20:21:36 IST 2025, 551 W
Tue Nov 18 20:21:37 IST 2025, 548 W
Tue Nov 18 20:21:38 IST 2025, 548 W
