timestamp, power.draw [W]
Wed Nov 19 18:56:22 IST 2025, 239 W
Wed Nov 19 18:56:22 IST 2025, 251 W
Wed Nov 19 18:56:23 IST 2025, 230 W
Wed Nov 19 18:56:23 IST 2025, 229 W
Wed Nov 19 18:56:24 IST 2025, 229 W
Wed Nov 19 18:56:24 IST 2025, 229 W
Wed Nov 19 18:56:25 IST 2025, 229 W
Wed Nov 19 18:56:25 IST 2025, 229 W
Wed Nov 19 18:56:26 IST 2025, 229 W
Wed Nov 19 18:56:26 IST 2025, 229 W
Wed Nov 19 18:56:27 IST 2025, 229 W
Wed Nov 19 18:56:27 IST 2025, 229 W
Wed Nov 19 18:56:28 IST 2025, 229 W
Wed Nov 19 18:56:28 IST 2025, 305 W
Wed Nov 19 18:56:29 IST 2025, 386 W
Wed Nov 19 18:56:29 IST 2025, 430 W
Wed Nov 19 18:56:30 IST 2025, 425 W
Wed Nov 19 18:56:30 IST 2025, 575 W
Wed Nov 19 18:56:31 IST 2025, 445 W
Wed Nov 19 18:56:31 IST 2025, 448 W
Wed Nov 19 18:56:32 IST 2025, 444 W
Wed Nov 19 18:56:32 IST 2025, 450 W
Wed Nov 19 18:56:33 IST 2025, 443 W
Wed Nov 19 18:56:33 IST 2025, 445 W
Wed Nov 19 18:56:34 IST 2025, 452 W
Wed Nov 19 18:56:34 IST 2025, 452 W
Wed Nov 19 18:56:35 IST 2025, 432 W
Wed Nov 19 18:56:35 IST 2025, 443 W
Wed Nov 19 18:56:36 IST 2025, 429 W
Wed Nov 19 18:56:36 IST 2025, 444 W
Wed Nov 19 18:56:37 IST 2025, 258 W
Wed Nov 19 18:56:37 IST 2025, 305 W
Wed Nov 19 18:56:38 IST 2025, 230 W
Wed Nov 19 18:56:38 IST 2025, 230 W
Wed Nov 19 18:56:39 IST 2025, 229 W
Wed Nov 19 18:56:39 IST 2025, 229 W
Wed Nov 19 18:56:40 IST 2025, 229 W
Wed Nov 19 18:56:40 IST 2025, 230 W
Wed Nov 19 18:56:41 IST 2025, 229 W
Wed Nov 19 18:56:41 IST 2025, 229 W
Wed Nov 19 18:56:42 IST 2025, 387 W
Wed Nov 19 18:56:42 IST 2025, 407 W
Wed Nov 19 18:56:43 IST 2025, 416 W
Wed Nov 19 18:56:43 IST 2025, 486 W
Wed Nov 19 18:56:44 IST 2025, 437 W
Wed Nov 19 18:56:44 IST 2025, 439 W
Wed Nov 19 18:56:45 IST 2025, 439 W
Wed Nov 19 18:56:45 IST 2025, 440 W
Wed Nov 19 18:56:46 IST 2025, 447 W
Wed Nov 19 18:56:46 IST 2025, 446 W
Wed Nov 19 18:56:47 IST 2025, 449 W
Wed Nov 19 18:56:47 IST 2025, 450 W
Wed Nov 19 18:56:48 IST 2025, 230 W
Wed Nov 19 18:56:48 IST 2025, 232 W
