timestamp, power.draw [W]
Wed Nov 19 19:55:46 IST 2025, 236 W
Wed Nov 19 19:55:46 IST 2025, 226 W
Wed Nov 19 19:55:46 IST 2025, 229 W
Wed Nov 19 19:55:46 IST 2025, 234 W
Wed Nov 19 19:55:47 IST 2025, 224 W
Wed Nov 19 19:55:47 IST 2025, 224 W
Wed Nov 19 19:55:47 IST 2025, 221 W
Wed Nov 19 19:55:47 IST 2025, 223 W
Wed Nov 19 19:55:48 IST 2025, 224 W
Wed Nov 19 19:55:48 IST 2025, 223 W
Wed Nov 19 19:55:48 IST 2025, 221 W
Wed Nov 19 19:55:48 IST 2025, 223 W
Wed Nov 19 19:55:49 IST 2025, 224 W
Wed Nov 19 19:55:49 IST 2025, 224 W
Wed Nov 19 19:55:49 IST 2025, 221 W
Wed Nov 19 19:55:49 IST 2025, 222 W
Wed Nov 19 19:55:50 IST 2025, 224 W
Wed Nov 19 19:55:50 IST 2025, 224 W
Wed Nov 19 19:55:50 IST 2025, 221 W
Wed Nov 19 19:55:50 IST 2025, 222 W
Wed Nov 19 19:55:51 IST 2025, 224 W
Wed Nov 19 19:55:51 IST 2025, 224 W
Wed Nov 19 19:55:51 IST 2025, 221 W
Wed Nov 19 19:55:51 IST 2025, 222 W
Wed Nov 19 19:55:52 IST 2025, 224 W
Wed Nov 19 19:55:52 IST 2025, 224 W
Wed Nov 19 19:55:52 IST 2025, 221 W
Wed Nov 19 19:55:52 IST 2025, 222 W
Wed Nov 19 19:55:53 IST 2025, 438 W
Wed Nov 19 19:55:53 IST 2025, 374 W
Wed Nov 19 19:55:53 IST 2025, 460 W
Wed Nov 19 19:55:53 IST 2025, 471 W
Wed Nov 19 19:55:54 IST 2025, 452 W
Wed Nov 19 19:55:54 IST 2025, 531 W
Wed Nov 19 19:55:54 IST 2025, 428 W
Wed Nov 19 19:55:54 IST 2025, 422 W
Wed Nov 19 19:55:55 IST 2025, 225 W
Wed Nov 19 19:55:55 IST 2025, 225 W
Wed Nov 19 19:55:55 IST 2025, 221 W
Wed Nov 19 19:55:55 IST 2025, 223 W
Wed Nov 19 19:55:56 IST 2025, 225 W
Wed Nov 19 19:55:56 IST 2025, 225 W
Wed Nov 19 19:55:56 IST 2025, 222 W
Wed Nov 19 19:55:56 IST 2025, 223 W
Wed Nov 19 19:55:57 IST 2025, 233 W
Wed Nov 19 19:55:57 IST 2025, 226 W
Wed Nov 19 19:55:57 IST 2025, 228 W
Wed Nov 19 19:55:57 IST 2025, 231 W
Wed Nov 19 19:55:58 IST 2025, 225 W
Wed Nov 19 19:55:58 IST 2025, 225 W
Wed Nov 19 19:55:58 IST 2025, 222 W
Wed Nov 19 19:55:58 IST 2025, 225 W
Wed Nov 19 19:55:59 IST 2025, 341 W
Wed Nov 19 19:55:59 IST 2025, 378 W
Wed Nov 19 19:55:59 IST 2025, 329 W
Wed Nov 19 19:55:59 IST 2025, 338 W
Wed Nov 19 19:56:00 IST 2025, 241 W
Wed Nov 19 19:56:00 IST 2025, 229 W
Wed Nov 19 19:56:00 IST 2025, 236 W
Wed Nov 19 19:56:00 IST 2025, 237 W
Wed Nov 19 19:56:01 IST 2025, 225 W
Wed Nov 19 19:56:01 IST 2025, 225 W
Wed Nov 19 19:56:01 IST 2025, 222 W
Wed Nov 19 19:56:01 IST 2025, 224 W
Wed Nov 19 19:56:02 IST 2025, 343 W
Wed Nov 19 19:56:02 IST 2025, 349 W
Wed Nov 19 19:56:02 IST 2025, 324 W
