timestamp, power.draw [W]
Thu Jan 15 20:07:36 IST 2026, 107 W
Thu Jan 15 20:07:37 IST 2026, 111 W
Thu Jan 15 20:07:38 IST 2026, 107 W
Thu Jan 15 20:07:39 IST 2026, 107 W
Thu Jan 15 20:07:40 IST 2026, 111 W
Thu Jan 15 20:07:41 IST 2026, 106 W
Thu Jan 15 20:07:42 IST 2026, 109 W
Thu Jan 15 20:07:43 IST 2026, 109 W
Thu Jan 15 20:07:44 IST 2026, 109 W
Thu Jan 15 20:07:45 IST 2026, 109 W
Thu Jan 15 20:07:46 IST 2026, 107 W
Thu Jan 15 20:07:47 IST 2026, 105 W
Thu Jan 15 20:07:48 IST 2026, 104 W
Thu Jan 15 20:07:49 IST 2026, 110 W
Thu Jan 15 20:07:50 IST 2026, 107 W
Thu Jan 15 20:07:51 IST 2026, 174 W
Thu Jan 15 20:07:52 IST 2026, 123 W
Thu Jan 15 20:07:53 IST 2026, 160 W
Thu Jan 15 20:07:54 IST 2026, 127 W
Thu Jan 15 20:07:55 IST 2026, 146 W
Thu Jan 15 20:07:56 IST 2026, 127 W
Thu Jan 15 20:07:57 IST 2026, 152 W
Thu Jan 15 20:07:58 IST 2026, 161 W
Thu Jan 15 20:07:59 IST 2026, 140 W
Thu Jan 15 20:08:00 IST 2026, 175 W
Thu Jan 15 20:08:01 IST 2026, 160 W
Thu Jan 15 20:08:02 IST 2026, 154 W
Thu Jan 15 20:08:03 IST 2026, 128 W
Thu Jan 15 20:08:04 IST 2026, 125 W
Thu Jan 15 20:08:05 IST 2026, 133 W
Thu Jan 15 20:08:06 IST 2026, 144 W
Thu Jan 15 20:08:07 IST 2026, 139 W
Thu Jan 15 20:08:08 IST 2026, 125 W
Thu Jan 15 20:08:09 IST 2026, 143 W
Thu Jan 15 20:08:10 IST 2026, 176 W
Thu Jan 15 20:08:11 IST 2026, 152 W
Thu Jan 15 20:08:12 IST 2026, 151 W
Thu Jan 15 20:08:13 IST 2026, 151 W
Thu Jan 15 20:08:14 IST 2026, 155 W
Thu Jan 15 20:08:15 IST 2026, 147 W
Thu Jan 15 20:08:16 IST 2026, 161 W
Thu Jan 15 20:08:17 IST 2026, 144 W
Thu Jan 15 20:08:18 IST 2026, 144 W
Thu Jan 15 20:08:19 IST 2026, 158 W
Thu Jan 15 20:08:20 IST 2026, 131 W
Thu Jan 15 20:08:21 IST 2026, 130 W
Thu Jan 15 20:08:22 IST 2026, 137 W
Thu Jan 15 20:08:23 IST 2026, 132 W
Thu Jan 15 20:08:24 IST 2026, 144 W
Thu Jan 15 20:08:25 IST 2026, 151 W
Thu Jan 15 20:08:26 IST 2026, 134 W
Thu Jan 15 20:08:27 IST 2026, 136 W
Thu Jan 15 20:08:28 IST 2026, 141 W
Thu Jan 15 20:08:29 IST 2026, 129 W
Thu Jan 15 20:08:30 IST 2026, 173 W
Thu Jan 15 20:08:31 IST 2026, 139 W
Thu Jan 15 20:08:32 IST 2026, 151 W
Thu Jan 15 20:08:33 IST 2026, 134 W
Thu Jan 15 20:08:34 IST 2026, 147 W
Thu Jan 15 20:08:35 IST 2026, 140 W
Thu Jan 15 20:08:36 IST 2026, 128 W
Thu Jan 15 20:08:37 IST 2026, 142 W
Thu Jan 15 20:08:38 IST 2026, 137 W
Thu Jan 15 20:08:39 IST 2026, 145 W
Thu Jan 15 20:08:40 IST 2026, 141 W
Thu Jan 15 20:08:41 IST 2026, 140 W
Thu Jan 15 20:08:42 IST 2026, 144 W
Thu Jan 15 20:08:43 IST 2026, 150 W
Thu Jan 15 20:08:44 IST 2026, 127 W
Thu Jan 15 20:08:45 IST 2026, 156 W
Thu Jan 15 20:08:46 IST 2026, 126 W
Thu Jan 15 20:08:47 IST 2026, 143 W
Thu Jan 15 20:08:48 IST 2026, 131 W
Thu Jan 15 20:08:49 IST 2026, 109 W
Thu Jan 15 20:08:50 IST 2026, 132 W
