timestamp, power.draw [W]
Mon Jan 19 18:30:36 IST 2026, 110 W
Mon Jan 19 18:30:36 IST 2026, 103 W
Mon Jan 19 18:30:36 IST 2026, 108 W
Mon Jan 19 18:30:36 IST 2026, 101 W
Mon Jan 19 18:30:37 IST 2026, 101 W
Mon Jan 19 18:30:37 IST 2026, 98 W
Mon Jan 19 18:30:37 IST 2026, 105 W
Mon Jan 19 18:30:37 IST 2026, 103 W
Mon Jan 19 18:30:38 IST 2026, 109 W
Mon Jan 19 18:30:38 IST 2026, 103 W
Mon Jan 19 18:30:38 IST 2026, 99 W
Mon Jan 19 18:30:38 IST 2026, 98 W
Mon Jan 19 18:30:39 IST 2026, 108 W
Mon Jan 19 18:30:39 IST 2026, 98 W
Mon Jan 19 18:30:39 IST 2026, 103 W
Mon Jan 19 18:30:39 IST 2026, 101 W
Mon Jan 19 18:30:40 IST 2026, 109 W
Mon Jan 19 18:30:40 IST 2026, 98 W
Mon Jan 19 18:30:40 IST 2026, 101 W
Mon Jan 19 18:30:40 IST 2026, 98 W
Mon Jan 19 18:30:41 IST 2026, 109 W
Mon Jan 19 18:30:41 IST 2026, 98 W
Mon Jan 19 18:30:41 IST 2026, 100 W
Mon Jan 19 18:30:41 IST 2026, 108 W
Mon Jan 19 18:30:42 IST 2026, 104 W
Mon Jan 19 18:30:42 IST 2026, 103 W
Mon Jan 19 18:30:42 IST 2026, 101 W
Mon Jan 19 18:30:42 IST 2026, 108 W
Mon Jan 19 18:30:43 IST 2026, 110 W
Mon Jan 19 18:30:43 IST 2026, 103 W
Mon Jan 19 18:30:43 IST 2026, 96 W
Mon Jan 19 18:30:43 IST 2026, 105 W
Mon Jan 19 18:30:44 IST 2026, 106 W
Mon Jan 19 18:30:44 IST 2026, 109 W
Mon Jan 19 18:30:44 IST 2026, 96 W
Mon Jan 19 18:30:44 IST 2026, 98 W
Mon Jan 19 18:30:45 IST 2026, 106 W
Mon Jan 19 18:30:45 IST 2026, 106 W
Mon Jan 19 18:30:45 IST 2026, 102 W
Mon Jan 19 18:30:45 IST 2026, 104 W
Mon Jan 19 18:30:46 IST 2026, 113 W
Mon Jan 19 18:30:46 IST 2026, 100 W
Mon Jan 19 18:30:46 IST 2026, 99 W
Mon Jan 19 18:30:46 IST 2026, 107 W
Mon Jan 19 18:30:47 IST 2026, 106 W
Mon Jan 19 18:30:47 IST 2026, 108 W
Mon Jan 19 18:30:47 IST 2026, 102 W
Mon Jan 19 18:30:47 IST 2026, 101 W
Mon Jan 19 18:30:48 IST 2026, 108 W
Mon Jan 19 18:30:48 IST 2026, 109 W
Mon Jan 19 18:30:48 IST 2026, 103 W
Mon Jan 19 18:30:48 IST 2026, 101 W
Mon Jan 19 18:30:49 IST 2026, 110 W
Mon Jan 19 18:30:49 IST 2026, 108 W
Mon Jan 19 18:30:49 IST 2026, 102 W
Mon Jan 19 18:30:49 IST 2026, 111 W
Mon Jan 19 18:30:50 IST 2026, 114 W
Mon Jan 19 18:30:50 IST 2026, 112 W
Mon Jan 19 18:30:50 IST 2026, 109 W
Mon Jan 19 18:30:50 IST 2026, 107 W
Mon Jan 19 18:30:51 IST 2026, 113 W
Mon Jan 19 18:30:51 IST 2026, 107 W
Mon Jan 19 18:30:51 IST 2026, 108 W
Mon Jan 19 18:30:51 IST 2026, 101 W
Mon Jan 19 18:30:52 IST 2026, 114 W
Mon Jan 19 18:30:52 IST 2026, 103 W
Mon Jan 19 18:30:52 IST 2026, 103 W
Mon Jan 19 18:30:52 IST 2026, 110 W
Mon Jan 19 18:30:53 IST 2026, 110 W
Mon Jan 19 18:30:53 IST 2026, 111 W
Mon Jan 19 18:30:53 IST 2026, 107 W
Mon Jan 19 18:30:53 IST 2026, 107 W
Mon Jan 19 18:30:54 IST 2026, 120 W
Mon Jan 19 18:30:54 IST 2026, 108 W
Mon Jan 19 18:30:54 IST 2026, 107 W
Mon Jan 19 18:30:54 IST 2026, 103 W
Mon Jan 19 18:30:55 IST 2026, 118 W
Mon Jan 19 18:30:55 IST 2026, 106 W
Mon Jan 19 18:30:55 IST 2026, 112 W
Mon Jan 19 18:30:55 IST 2026, 109 W
Mon Jan 19 18:30:56 IST 2026, 114 W
Mon Jan 19 18:30:56 IST 2026, 104 W
Mon Jan 19 18:30:56 IST 2026, 105 W
Mon Jan 19 18:30:56 IST 2026, 110 W
Mon Jan 19 18:30:57 IST 2026, 120 W
Mon Jan 19 18:30:57 IST 2026, 99 W
Mon Jan 19 18:30:57 IST 2026, 103 W
Mon Jan 19 18:30:57 IST 2026, 108 W
Mon Jan 19 18:30:58 IST 2026, 117 W
Mon Jan 19 18:30:58 IST 2026, 110 W
Mon Jan 19 18:30:58 IST 2026, 106 W
Mon Jan 19 18:30:58 IST 2026, 101 W
Mon Jan 19 18:30:59 IST 2026, 120 W
Mon Jan 19 18:30:59 IST 2026, 109 W
Mon Jan 19 18:30:59 IST 2026, 109 W
Mon Jan 19 18:30:59 IST 2026, 103 W
Mon Jan 19 18:31:00 IST 2026, 112 W
Mon Jan 19 18:31:00 IST 2026, 103 W
Mon Jan 19 18:31:00 IST 2026, 103 W
Mon Jan 19 18:31:00 IST 2026, 106 W
Mon Jan 19 18:31:01 IST 2026, 114 W
Mon Jan 19 18:31:01 IST 2026, 115 W
Mon Jan 19 18:31:01 IST 2026, 101 W
Mon Jan 19 18:31:01 IST 2026, 99 W
Mon Jan 19 18:31:02 IST 2026, 120 W
Mon Jan 19 18:31:02 IST 2026, 106 W
Mon Jan 19 18:31:02 IST 2026, 102 W
Mon Jan 19 18:31:02 IST 2026, 111 W
Mon Jan 19 18:31:03 IST 2026, 112 W
Mon Jan 19 18:31:03 IST 2026, 108 W
Mon Jan 19 18:31:03 IST 2026, 104 W
Mon Jan 19 18:31:03 IST 2026, 106 W
Mon Jan 19 18:31:04 IST 2026, 116 W
Mon Jan 19 18:31:04 IST 2026, 109 W
Mon Jan 19 18:31:04 IST 2026, 104 W
Mon Jan 19 18:31:04 IST 2026, 108 W
Mon Jan 19 18:31:05 IST 2026, 109 W
Mon Jan 19 18:31:05 IST 2026, 106 W
Mon Jan 19 18:31:05 IST 2026, 103 W
Mon Jan 19 18:31:05 IST 2026, 102 W
Mon Jan 19 18:31:06 IST 2026, 107 W
Mon Jan 19 18:31:06 IST 2026, 106 W
Mon Jan 19 18:31:06 IST 2026, 108 W
Mon Jan 19 18:31:06 IST 2026, 107 W
Mon Jan 19 18:31:07 IST 2026, 111 W
Mon Jan 19 18:31:07 IST 2026, 116 W
Mon Jan 19 18:31:07 IST 2026, 105 W
Mon Jan 19 18:31:07 IST 2026, 107 W
Mon Jan 19 18:31:08 IST 2026, 120 W
Mon Jan 19 18:31:08 IST 2026, 100 W
Mon Jan 19 18:31:08 IST 2026, 109 W
Mon Jan 19 18:31:08 IST 2026, 105 W
Mon Jan 19 18:31:09 IST 2026, 111 W
Mon Jan 19 18:31:09 IST 2026, 111 W
Mon Jan 19 18:31:09 IST 2026, 103 W
Mon Jan 19 18:31:09 IST 2026, 114 W
Mon Jan 19 18:31:10 IST 2026, 113 W
Mon Jan 19 18:31:10 IST 2026, 102 W
Mon Jan 19 18:31:10 IST 2026, 99 W
Mon Jan 19 18:31:10 IST 2026, 115 W
Mon Jan 19 18:31:11 IST 2026, 108 W
Mon Jan 19 18:31:11 IST 2026, 110 W
Mon Jan 19 18:31:11 IST 2026, 111 W
Mon Jan 19 18:31:11 IST 2026, 111 W
Mon Jan 19 18:31:12 IST 2026, 117 W
Mon Jan 19 18:31:12 IST 2026, 104 W
Mon Jan 19 18:31:12 IST 2026, 109 W
Mon Jan 19 18:31:12 IST 2026, 114 W
Mon Jan 19 18:31:13 IST 2026, 107 W
Mon Jan 19 18:31:13 IST 2026, 107 W
Mon Jan 19 18:31:13 IST 2026, 109 W
Mon Jan 19 18:31:13 IST 2026, 106 W
Mon Jan 19 18:31:14 IST 2026, 111 W
Mon Jan 19 18:31:14 IST 2026, 110 W
Mon Jan 19 18:31:14 IST 2026, 104 W
Mon Jan 19 18:31:14 IST 2026, 112 W
Mon Jan 19 18:31:15 IST 2026, 114 W
Mon Jan 19 18:31:15 IST 2026, 106 W
Mon Jan 19 18:31:15 IST 2026, 109 W
Mon Jan 19 18:31:15 IST 2026, 108 W
Mon Jan 19 18:31:16 IST 2026, 117 W
Mon Jan 19 18:31:16 IST 2026, 116 W
Mon Jan 19 18:31:16 IST 2026, 101 W
Mon Jan 19 18:31:16 IST 2026, 107 W
Mon Jan 19 18:31:17 IST 2026, 118 W
Mon Jan 19 18:31:17 IST 2026, 118 W
Mon Jan 19 18:31:17 IST 2026, 102 W
Mon Jan 19 18:31:17 IST 2026, 111 W
Mon Jan 19 18:31:18 IST 2026, 111 W
Mon Jan 19 18:31:18 IST 2026, 101 W
Mon Jan 19 18:31:18 IST 2026, 107 W
Mon Jan 19 18:31:18 IST 2026, 104 W
Mon Jan 19 18:31:19 IST 2026, 116 W
Mon Jan 19 18:31:19 IST 2026, 103 W
Mon Jan 19 18:31:19 IST 2026, 104 W
Mon Jan 19 18:31:19 IST 2026, 108 W
Mon Jan 19 18:31:20 IST 2026, 116 W
Mon Jan 19 18:31:20 IST 2026, 106 W
Mon Jan 19 18:31:20 IST 2026, 105 W
Mon Jan 19 18:31:20 IST 2026, 111 W
Mon Jan 19 18:31:21 IST 2026, 110 W
Mon Jan 19 18:31:21 IST 2026, 115 W
Mon Jan 19 18:31:21 IST 2026, 105 W
Mon Jan 19 18:31:21 IST 2026, 97 W
Mon Jan 19 18:31:22 IST 2026, 110 W
Mon Jan 19 18:31:22 IST 2026, 109 W
Mon Jan 19 18:31:22 IST 2026, 108 W
Mon Jan 19 18:31:22 IST 2026, 111 W
Mon Jan 19 18:31:23 IST 2026, 119 W
Mon Jan 19 18:31:23 IST 2026, 109 W
Mon Jan 19 18:31:23 IST 2026, 105 W
Mon Jan 19 18:31:23 IST 2026, 114 W
Mon Jan 19 18:31:24 IST 2026, 114 W
Mon Jan 19 18:31:24 IST 2026, 106 W
Mon Jan 19 18:31:24 IST 2026, 106 W
Mon Jan 19 18:31:24 IST 2026, 116 W
Mon Jan 19 18:31:25 IST 2026, 118 W
Mon Jan 19 18:31:25 IST 2026, 104 W
Mon Jan 19 18:31:25 IST 2026, 103 W
Mon Jan 19 18:31:25 IST 2026, 112 W
Mon Jan 19 18:31:26 IST 2026, 114 W
Mon Jan 19 18:31:26 IST 2026, 112 W
Mon Jan 19 18:31:26 IST 2026, 106 W
Mon Jan 19 18:31:26 IST 2026, 110 W
Mon Jan 19 18:31:27 IST 2026, 114 W
Mon Jan 19 18:31:27 IST 2026, 113 W
Mon Jan 19 18:31:27 IST 2026, 106 W
Mon Jan 19 18:31:27 IST 2026, 115 W
Mon Jan 19 18:31:28 IST 2026, 120 W
Mon Jan 19 18:31:28 IST 2026, 109 W
Mon Jan 19 18:31:28 IST 2026, 104 W
Mon Jan 19 18:31:28 IST 2026, 103 W
Mon Jan 19 18:31:29 IST 2026, 114 W
Mon Jan 19 18:31:29 IST 2026, 106 W
Mon Jan 19 18:31:29 IST 2026, 109 W
Mon Jan 19 18:31:29 IST 2026, 110 W
Mon Jan 19 18:31:30 IST 2026, 117 W
Mon Jan 19 18:31:30 IST 2026, 104 W
Mon Jan 19 18:31:30 IST 2026, 102 W
Mon Jan 19 18:31:30 IST 2026, 103 W
Mon Jan 19 18:31:31 IST 2026, 115 W
Mon Jan 19 18:31:31 IST 2026, 105 W
