timestamp, power.draw [W]
Mon Jan 19 18:26:05 IST 2026, 87 W
Mon Jan 19 18:26:05 IST 2026, 87 W
Mon Jan 19 18:26:06 IST 2026, 86 W
Mon Jan 19 18:26:06 IST 2026, 82 W
Mon Jan 19 18:26:07 IST 2026, 99 W
Mon Jan 19 18:26:07 IST 2026, 81 W
Mon Jan 19 18:26:08 IST 2026, 94 W
Mon Jan 19 18:26:08 IST 2026, 85 W
Mon Jan 19 18:26:09 IST 2026, 92 W
Mon Jan 19 18:26:09 IST 2026, 87 W
Mon Jan 19 18:26:10 IST 2026, 94 W
Mon Jan 19 18:26:10 IST 2026, 85 W
Mon Jan 19 18:26:11 IST 2026, 95 W
Mon Jan 19 18:26:11 IST 2026, 84 W
Mon Jan 19 18:26:12 IST 2026, 89 W
Mon Jan 19 18:26:12 IST 2026, 87 W
Mon Jan 19 18:26:13 IST 2026, 88 W
Mon Jan 19 18:26:13 IST 2026, 89 W
Mon Jan 19 18:26:14 IST 2026, 88 W
Mon Jan 19 18:26:14 IST 2026, 80 W
Mon Jan 19 18:26:15 IST 2026, 96 W
Mon Jan 19 18:26:15 IST 2026, 86 W
Mon Jan 19 18:26:16 IST 2026, 100 W
Mon Jan 19 18:26:16 IST 2026, 87 W
Mon Jan 19 18:26:17 IST 2026, 93 W
Mon Jan 19 18:26:17 IST 2026, 87 W
Mon Jan 19 18:26:18 IST 2026, 88 W
Mon Jan 19 18:26:18 IST 2026, 89 W
Mon Jan 19 18:26:19 IST 2026, 101 W
Mon Jan 19 18:26:19 IST 2026, 86 W
Mon Jan 19 18:26:20 IST 2026, 97 W
Mon Jan 19 18:26:20 IST 2026, 86 W
Mon Jan 19 18:26:21 IST 2026, 90 W
Mon Jan 19 18:26:21 IST 2026, 82 W
Mon Jan 19 18:26:22 IST 2026, 92 W
Mon Jan 19 18:26:22 IST 2026, 84 W
Mon Jan 19 18:26:23 IST 2026, 95 W
Mon Jan 19 18:26:23 IST 2026, 84 W
Mon Jan 19 18:26:24 IST 2026, 96 W
Mon Jan 19 18:26:24 IST 2026, 84 W
Mon Jan 19 18:26:25 IST 2026, 93 W
Mon Jan 19 18:26:25 IST 2026, 83 W
Mon Jan 19 18:26:26 IST 2026, 97 W
Mon Jan 19 18:26:26 IST 2026, 92 W
Mon Jan 19 18:26:27 IST 2026, 94 W
Mon Jan 19 18:26:27 IST 2026, 86 W
Mon Jan 19 18:26:28 IST 2026, 89 W
Mon Jan 19 18:26:28 IST 2026, 82 W
Mon Jan 19 18:26:29 IST 2026, 96 W
Mon Jan 19 18:26:29 IST 2026, 90 W
Mon Jan 19 18:26:30 IST 2026, 93 W
Mon Jan 19 18:26:30 IST 2026, 82 W
Mon Jan 19 18:26:31 IST 2026, 100 W
Mon Jan 19 18:26:31 IST 2026, 86 W
Mon Jan 19 18:26:32 IST 2026, 95 W
Mon Jan 19 18:26:32 IST 2026, 85 W
Mon Jan 19 18:26:33 IST 2026, 96 W
Mon Jan 19 18:26:33 IST 2026, 86 W
Mon Jan 19 18:26:34 IST 2026, 97 W
Mon Jan 19 18:26:34 IST 2026, 87 W
Mon Jan 19 18:26:35 IST 2026, 93 W
Mon Jan 19 18:26:35 IST 2026, 92 W
Mon Jan 19 18:26:36 IST 2026, 95 W
Mon Jan 19 18:26:36 IST 2026, 94 W
Mon Jan 19 18:26:37 IST 2026, 96 W
Mon Jan 19 18:26:37 IST 2026, 88 W
Mon Jan 19 18:26:38 IST 2026, 98 W
Mon Jan 19 18:26:38 IST 2026, 92 W
Mon Jan 19 18:26:39 IST 2026, 101 W
Mon Jan 19 18:26:39 IST 2026, 89 W
Mon Jan 19 18:26:40 IST 2026, 101 W
Mon Jan 19 18:26:40 IST 2026, 86 W
Mon Jan 19 18:26:41 IST 2026, 104 W
Mon Jan 19 18:26:41 IST 2026, 87 W
Mon Jan 19 18:26:42 IST 2026, 98 W
Mon Jan 19 18:26:42 IST 2026, 87 W
Mon Jan 19 18:26:43 IST 2026, 100 W
Mon Jan 19 18:26:43 IST 2026, 88 W
Mon Jan 19 18:26:44 IST 2026, 99 W
Mon Jan 19 18:26:44 IST 2026, 90 W
Mon Jan 19 18:26:45 IST 2026, 96 W
Mon Jan 19 18:26:45 IST 2026, 84 W
Mon Jan 19 18:26:46 IST 2026, 99 W
Mon Jan 19 18:26:46 IST 2026, 93 W
Mon Jan 19 18:26:47 IST 2026, 94 W
Mon Jan 19 18:26:47 IST 2026, 89 W
Mon Jan 19 18:26:48 IST 2026, 100 W
Mon Jan 19 18:26:48 IST 2026, 87 W
Mon Jan 19 18:26:49 IST 2026, 99 W
Mon Jan 19 18:26:49 IST 2026, 93 W
Mon Jan 19 18:26:50 IST 2026, 99 W
Mon Jan 19 18:26:50 IST 2026, 93 W
Mon Jan 19 18:26:51 IST 2026, 105 W
Mon Jan 19 18:26:51 IST 2026, 92 W
Mon Jan 19 18:26:52 IST 2026, 99 W
Mon Jan 19 18:26:52 IST 2026, 85 W
Mon Jan 19 18:26:53 IST 2026, 99 W
Mon Jan 19 18:26:53 IST 2026, 92 W
Mon Jan 19 18:26:54 IST 2026, 105 W
Mon Jan 19 18:26:54 IST 2026, 89 W
Mon Jan 19 18:26:55 IST 2026, 97 W
Mon Jan 19 18:26:55 IST 2026, 92 W
Mon Jan 19 18:26:56 IST 2026, 99 W
Mon Jan 19 18:26:56 IST 2026, 95 W
Mon Jan 19 18:26:57 IST 2026, 101 W
Mon Jan 19 18:26:57 IST 2026, 89 W
Mon Jan 19 18:26:58 IST 2026, 95 W
Mon Jan 19 18:26:58 IST 2026, 84 W
Mon Jan 19 18:26:59 IST 2026, 98 W
Mon Jan 19 18:26:59 IST 2026, 84 W
Mon Jan 19 18:27:00 IST 2026, 93 W
Mon Jan 19 18:27:00 IST 2026, 88 W
Mon Jan 19 18:27:01 IST 2026, 98 W
Mon Jan 19 18:27:01 IST 2026, 89 W
Mon Jan 19 18:27:02 IST 2026, 106 W
Mon Jan 19 18:27:02 IST 2026, 89 W
Mon Jan 19 18:27:03 IST 2026, 94 W
Mon Jan 19 18:27:03 IST 2026, 92 W
Mon Jan 19 18:27:04 IST 2026, 95 W
Mon Jan 19 18:27:04 IST 2026, 91 W
Mon Jan 19 18:27:05 IST 2026, 101 W
Mon Jan 19 18:27:05 IST 2026, 100 W
Mon Jan 19 18:27:06 IST 2026, 99 W
Mon Jan 19 18:27:06 IST 2026, 98 W
Mon Jan 19 18:27:07 IST 2026, 96 W
Mon Jan 19 18:27:07 IST 2026, 91 W
Mon Jan 19 18:27:08 IST 2026, 101 W
Mon Jan 19 18:27:08 IST 2026, 96 W
Mon Jan 19 18:27:09 IST 2026, 103 W
Mon Jan 19 18:27:09 IST 2026, 90 W
Mon Jan 19 18:27:10 IST 2026, 107 W
Mon Jan 19 18:27:10 IST 2026, 97 W
Mon Jan 19 18:27:11 IST 2026, 104 W
Mon Jan 19 18:27:11 IST 2026, 97 W
Mon Jan 19 18:27:12 IST 2026, 94 W
Mon Jan 19 18:27:12 IST 2026, 93 W
Mon Jan 19 18:27:13 IST 2026, 94 W
Mon Jan 19 18:27:13 IST 2026, 93 W
Mon Jan 19 18:27:14 IST 2026, 100 W
Mon Jan 19 18:27:14 IST 2026, 87 W
Mon Jan 19 18:27:15 IST 2026, 96 W
Mon Jan 19 18:27:15 IST 2026, 92 W
Mon Jan 19 18:27:16 IST 2026, 103 W
Mon Jan 19 18:27:16 IST 2026, 87 W
Mon Jan 19 18:27:17 IST 2026, 103 W
Mon Jan 19 18:27:17 IST 2026, 88 W
Mon Jan 19 18:27:18 IST 2026, 92 W
Mon Jan 19 18:27:18 IST 2026, 91 W
Mon Jan 19 18:27:19 IST 2026, 105 W
Mon Jan 19 18:27:19 IST 2026, 90 W
Mon Jan 19 18:27:20 IST 2026, 96 W
Mon Jan 19 18:27:20 IST 2026, 95 W
Mon Jan 19 18:27:21 IST 2026, 94 W
Mon Jan 19 18:27:21 IST 2026, 92 W
Mon Jan 19 18:27:22 IST 2026, 100 W
Mon Jan 19 18:27:22 IST 2026, 94 W
Mon Jan 19 18:27:23 IST 2026, 98 W
Mon Jan 19 18:27:23 IST 2026, 89 W
Mon Jan 19 18:27:24 IST 2026, 99 W
Mon Jan 19 18:27:24 IST 2026, 90 W
Mon Jan 19 18:27:25 IST 2026, 97 W
Mon Jan 19 18:27:25 IST 2026, 95 W
Mon Jan 19 18:27:26 IST 2026, 98 W
Mon Jan 19 18:27:26 IST 2026, 87 W
Mon Jan 19 18:27:27 IST 2026, 104 W
Mon Jan 19 18:27:27 IST 2026, 86 W
Mon Jan 19 18:27:28 IST 2026, 94 W
Mon Jan 19 18:27:28 IST 2026, 88 W
Mon Jan 19 18:27:29 IST 2026, 104 W
Mon Jan 19 18:27:29 IST 2026, 93 W
Mon Jan 19 18:27:30 IST 2026, 103 W
Mon Jan 19 18:27:30 IST 2026, 91 W
Mon Jan 19 18:27:31 IST 2026, 99 W
Mon Jan 19 18:27:31 IST 2026, 91 W
Mon Jan 19 18:27:32 IST 2026, 103 W
Mon Jan 19 18:27:32 IST 2026, 95 W
Mon Jan 19 18:27:33 IST 2026, 98 W
Mon Jan 19 18:27:33 IST 2026, 90 W
Mon Jan 19 18:27:34 IST 2026, 102 W
Mon Jan 19 18:27:34 IST 2026, 94 W
Mon Jan 19 18:27:35 IST 2026, 101 W
Mon Jan 19 18:27:35 IST 2026, 91 W
Mon Jan 19 18:27:36 IST 2026, 104 W
Mon Jan 19 18:27:36 IST 2026, 92 W
Mon Jan 19 18:27:37 IST 2026, 98 W
Mon Jan 19 18:27:37 IST 2026, 97 W
Mon Jan 19 18:27:38 IST 2026, 94 W
