timestamp, power.draw [W]
Mon Jan 19 18:43:22 IST 2026, N/A W
Mon Jan 19 18:43:23 IST 2026, N/A W
Mon Jan 19 18:43:24 IST 2026, N/A W
Mon Jan 19 18:43:25 IST 2026, N/A W
Mon Jan 19 18:43:26 IST 2026, N/A W
Mon Jan 19 18:43:27 IST 2026, N/A W
Mon Jan 19 18:43:28 IST 2026, N/A W
Mon Jan 19 18:43:29 IST 2026, N/A W
Mon Jan 19 18:43:30 IST 2026, N/A W
Mon Jan 19 18:43:31 IST 2026, N/A W
Mon Jan 19 18:43:32 IST 2026, N/A W
Mon Jan 19 18:43:33 IST 2026, N/A W
Mon Jan 19 18:43:34 IST 2026, N/A W
Mon Jan 19 18:43:35 IST 2026, N/A W
Mon Jan 19 18:43:36 IST 2026, N/A W
Mon Jan 19 18:43:37 IST 2026, N/A W
Mon Jan 19 18:43:38 IST 2026, N/A W
Mon Jan 19 18:43:39 IST 2026, N/A W
Mon Jan 19 18:43:40 IST 2026, N/A W
Mon Jan 19 18:43:41 IST 2026, N/A W
Mon Jan 19 18:43:42 IST 2026, N/A W
Mon Jan 19 18:43:43 IST 2026, N/A W
Mon Jan 19 18:43:44 IST 2026, N/A W
Mon Jan 19 18:43:45 IST 2026, N/A W
Mon Jan 19 18:43:46 IST 2026, N/A W
Mon Jan 19 18:43:47 IST 2026, N/A W
Mon Jan 19 18:43:48 IST 2026, N/A W
Mon Jan 19 18:43:49 IST 2026, N/A W
Mon Jan 19 18:43:50 IST 2026, N/A W
Mon Jan 19 18:43:51 IST 2026, N/A W
Mon Jan 19 18:43:52 IST 2026, N/A W
Mon Jan 19 18:43:53 IST 2026, N/A W
Mon Jan 19 18:43:54 IST 2026, N/A W
Mon Jan 19 18:43:55 IST 2026, N/A W
Mon Jan 19 18:43:56 IST 2026, N/A W
Mon Jan 19 18:43:57 IST 2026, N/A W
Mon Jan 19 18:43:58 IST 2026, N/A W
Mon Jan 19 18:43:59 IST 2026, N/A W
Mon Jan 19 18:44:00 IST 2026, N/A W
Mon Jan 19 18:44:01 IST 2026, N/A W
Mon Jan 19 18:44:02 IST 2026, N/A W
Mon Jan 19 18:44:03 IST 2026, N/A W
Mon Jan 19 18:44:04 IST 2026, N/A W
Mon Jan 19 18:44:05 IST 2026, N/A W
Mon Jan 19 18:44:06 IST 2026, N/A W
Mon Jan 19 18:44:07 IST 2026, N/A W
Mon Jan 19 18:44:08 IST 2026, N/A W
Mon Jan 19 18:44:09 IST 2026, N/A W
Mon Jan 19 18:44:10 IST 2026, N/A W
Mon Jan 19 18:44:11 IST 2026, N/A W
Mon Jan 19 18:44:12 IST 2026, N/A W
Mon Jan 19 18:44:13 IST 2026, N/A W
Mon Jan 19 18:44:14 IST 2026, N/A W
Mon Jan 19 18:44:15 IST 2026, N/A W
Mon Jan 19 18:44:16 IST 2026, N/A W
Mon Jan 19 18:44:17 IST 2026, N/A W
Mon Jan 19 18:44:18 IST 2026, N/A W
Mon Jan 19 18:44:19 IST 2026, N/A W
Mon Jan 19 18:44:20 IST 2026, N/A W
Mon Jan 19 18:44:21 IST 2026, N/A W
Mon Jan 19 18:44:22 IST 2026, N/A W
Mon Jan 19 18:44:23 IST 2026, N/A W
Mon Jan 19 18:44:24 IST 2026, N/A W
Mon Jan 19 18:44:25 IST 2026, N/A W
Mon Jan 19 18:44:26 IST 2026, N/A W
Mon Jan 19 18:44:27 IST 2026, N/A W
Mon Jan 19 18:44:28 IST 2026, N/A W
Mon Jan 19 18:44:29 IST 2026, N/A W
Mon Jan 19 18:44:30 IST 2026, N/A W
Mon Jan 19 18:44:31 IST 2026, N/A W
Mon Jan 19 18:44:32 IST 2026, N/A W
Mon Jan 19 18:44:33 IST 2026, N/A W
Mon Jan 19 18:44:34 IST 2026, N/A W
Mon Jan 19 18:44:35 IST 2026, N/A W
Mon Jan 19 18:44:36 IST 2026, N/A W
