timestamp, power.draw [W]
Tue Jan 13 19:18:41 IST 2026, 84 W
Tue Jan 13 19:18:41 IST 2026, 91 W
Tue Jan 13 19:18:41 IST 2026, 98 W
Tue Jan 13 19:18:41 IST 2026, 76 W
Tue Jan 13 19:18:42 IST 2026, 84 W
Tue Jan 13 19:18:42 IST 2026, 92 W
Tue Jan 13 19:18:42 IST 2026, 100 W
Tue Jan 13 19:18:42 IST 2026, 74 W
Tue Jan 13 19:18:43 IST 2026, 83 W
Tue Jan 13 19:18:43 IST 2026, 92 W
Tue Jan 13 19:18:43 IST 2026, 99 W
Tue Jan 13 19:18:43 IST 2026, 73 W
Tue Jan 13 19:18:44 IST 2026, 84 W
Tue Jan 13 19:18:44 IST 2026, 94 W
Tue Jan 13 19:18:44 IST 2026, 97 W
Tue Jan 13 19:18:44 IST 2026, 73 W
Tue Jan 13 19:18:45 IST 2026, 85 W
Tue Jan 13 19:18:45 IST 2026, 96 W
Tue Jan 13 19:18:45 IST 2026, 99 W
Tue Jan 13 19:18:45 IST 2026, 72 W
Tue Jan 13 19:18:46 IST 2026, 85 W
Tue Jan 13 19:18:46 IST 2026, 90 W
Tue Jan 13 19:18:46 IST 2026, 99 W
Tue Jan 13 19:18:46 IST 2026, 74 W
Tue Jan 13 19:18:47 IST 2026, 85 W
Tue Jan 13 19:18:47 IST 2026, 92 W
Tue Jan 13 19:18:47 IST 2026, 98 W
Tue Jan 13 19:18:47 IST 2026, 73 W
Tue Jan 13 19:18:48 IST 2026, 86 W
Tue Jan 13 19:18:48 IST 2026, 93 W
Tue Jan 13 19:18:48 IST 2026, 100 W
Tue Jan 13 19:18:48 IST 2026, 72 W
Tue Jan 13 19:18:49 IST 2026, 83 W
Tue Jan 13 19:18:49 IST 2026, 95 W
Tue Jan 13 19:18:49 IST 2026, 100 W
Tue Jan 13 19:18:49 IST 2026, 74 W
Tue Jan 13 19:18:50 IST 2026, 81 W
Tue Jan 13 19:18:50 IST 2026, 90 W
Tue Jan 13 19:18:50 IST 2026, 98 W
Tue Jan 13 19:18:50 IST 2026, 76 W
Tue Jan 13 19:18:51 IST 2026, 82 W
Tue Jan 13 19:18:51 IST 2026, 94 W
Tue Jan 13 19:18:51 IST 2026, 101 W
Tue Jan 13 19:18:51 IST 2026, 74 W
Tue Jan 13 19:18:52 IST 2026, 88 W
Tue Jan 13 19:18:52 IST 2026, 93 W
Tue Jan 13 19:18:52 IST 2026, 106 W
Tue Jan 13 19:18:52 IST 2026, 75 W
Tue Jan 13 19:18:53 IST 2026, 83 W
Tue Jan 13 19:18:53 IST 2026, 96 W
Tue Jan 13 19:18:53 IST 2026, 105 W
Tue Jan 13 19:18:53 IST 2026, 74 W
Tue Jan 13 19:18:54 IST 2026, 89 W
Tue Jan 13 19:18:54 IST 2026, 97 W
Tue Jan 13 19:18:54 IST 2026, 99 W
Tue Jan 13 19:18:54 IST 2026, 77 W
Tue Jan 13 19:18:55 IST 2026, 89 W
Tue Jan 13 19:18:55 IST 2026, 99 W
Tue Jan 13 19:18:55 IST 2026, 105 W
Tue Jan 13 19:18:55 IST 2026, 77 W
Tue Jan 13 19:18:56 IST 2026, 84 W
Tue Jan 13 19:18:56 IST 2026, 99 W
Tue Jan 13 19:18:56 IST 2026, 100 W
Tue Jan 13 19:18:56 IST 2026, 77 W
Tue Jan 13 19:18:57 IST 2026, 112 W
Tue Jan 13 19:18:57 IST 2026, 396 W
Tue Jan 13 19:18:57 IST 2026, 136 W
Tue Jan 13 19:18:57 IST 2026, 105 W
Tue Jan 13 19:18:58 IST 2026, 111 W
Tue Jan 13 19:18:58 IST 2026, 121 W
Tue Jan 13 19:18:58 IST 2026, 131 W
Tue Jan 13 19:18:58 IST 2026, 107 W
Tue Jan 13 19:18:59 IST 2026, 109 W
Tue Jan 13 19:18:59 IST 2026, 123 W
Tue Jan 13 19:18:59 IST 2026, 132 W
Tue Jan 13 19:18:59 IST 2026, 105 W
Tue Jan 13 19:19:00 IST 2026, 114 W
Tue Jan 13 19:19:00 IST 2026, 116 W
Tue Jan 13 19:19:00 IST 2026, 129 W
Tue Jan 13 19:19:00 IST 2026, 110 W
Tue Jan 13 19:19:01 IST 2026, 111 W
Tue Jan 13 19:19:01 IST 2026, 113 W
Tue Jan 13 19:19:01 IST 2026, 132 W
Tue Jan 13 19:19:01 IST 2026, 114 W
Tue Jan 13 19:19:02 IST 2026, 106 W
Tue Jan 13 19:19:02 IST 2026, 124 W
Tue Jan 13 19:19:02 IST 2026, 133 W
Tue Jan 13 19:19:02 IST 2026, 111 W
Tue Jan 13 19:19:03 IST 2026, 108 W
Tue Jan 13 19:19:03 IST 2026, 120 W
Tue Jan 13 19:19:03 IST 2026, 136 W
