timestamp, power.draw [W]
Tue Feb  3 20:24:13 IST 2026, 229 W
Tue Feb  3 20:24:14 IST 2026, 229 W
Tue Feb  3 20:24:15 IST 2026, 228 W
Tue Feb  3 20:24:16 IST 2026, 229 W
Tue Feb  3 20:24:17 IST 2026, 229 W
Tue Feb  3 20:24:18 IST 2026, 229 W
Tue Feb  3 20:24:19 IST 2026, 229 W
Tue Feb  3 20:24:20 IST 2026, 230 W
Tue Feb  3 20:24:21 IST 2026, 233 W
Tue Feb  3 20:24:22 IST 2026, 233 W
Tue Feb  3 20:24:23 IST 2026, 233 W
Tue Feb  3 20:24:24 IST 2026, 232 W
Tue Feb  3 20:24:25 IST 2026, 233 W
Tue Feb  3 20:24:26 IST 2026, 232 W
Tue Feb  3 20:24:27 IST 2026, 258 W
Tue Feb  3 20:24:28 IST 2026, 256 W
Tue Feb  3 20:24:29 IST 2026, 258 W
Tue Feb  3 20:24:30 IST 2026, 252 W
Tue Feb  3 20:24:31 IST 2026, 258 W
Tue Feb  3 20:24:32 IST 2026, 259 W
Tue Feb  3 20:24:33 IST 2026, 260 W
Tue Feb  3 20:24:34 IST 2026, 261 W
Tue Feb  3 20:24:35 IST 2026, 254 W
Tue Feb  3 20:24:36 IST 2026, 256 W
Tue Feb  3 20:24:37 IST 2026, 258 W
Tue Feb  3 20:24:38 IST 2026, 256 W
Tue Feb  3 20:24:39 IST 2026, 252 W
Tue Feb  3 20:24:40 IST 2026, 254 W
Tue Feb  3 20:24:41 IST 2026, 256 W
Tue Feb  3 20:24:42 IST 2026, 254 W
Tue Feb  3 20:24:43 IST 2026, 256 W
Tue Feb  3 20:24:44 IST 2026, 264 W
Tue Feb  3 20:24:45 IST 2026, 256 W
Tue Feb  3 20:24:46 IST 2026, 256 W
Tue Feb  3 20:24:47 IST 2026, 257 W
Tue Feb  3 20:24:48 IST 2026, 258 W
Tue Feb  3 20:24:49 IST 2026, 259 W
Tue Feb  3 20:24:50 IST 2026, 256 W
Tue Feb  3 20:24:51 IST 2026, 258 W
Tue Feb  3 20:24:52 IST 2026, 255 W
Tue Feb  3 20:24:53 IST 2026, 255 W
Tue Feb  3 20:24:54 IST 2026, 253 W
Tue Feb  3 20:24:55 IST 2026, 258 W
Tue Feb  3 20:24:56 IST 2026, 255 W
Tue Feb  3 20:24:57 IST 2026, 254 W
Tue Feb  3 20:24:58 IST 2026, 255 W
Tue Feb  3 20:24:59 IST 2026, 255 W
Tue Feb  3 20:25:00 IST 2026, 264 W
Tue Feb  3 20:25:01 IST 2026, 254 W
Tue Feb  3 20:25:02 IST 2026, 257 W
Tue Feb  3 20:25:03 IST 2026, 259 W
Tue Feb  3 20:25:04 IST 2026, 256 W
Tue Feb  3 20:25:05 IST 2026, 260 W
Tue Feb  3 20:25:06 IST 2026, 257 W
Tue Feb  3 20:25:07 IST 2026, 252 W
Tue Feb  3 20:25:08 IST 2026, 256 W
Tue Feb  3 20:25:09 IST 2026, 251 W
Tue Feb  3 20:25:10 IST 2026, 250 W
Tue Feb  3 20:25:11 IST 2026, 255 W
Tue Feb  3 20:25:12 IST 2026, 258 W
Tue Feb  3 20:25:13 IST 2026, 258 W
Tue Feb  3 20:25:14 IST 2026, 260 W
Tue Feb  3 20:25:15 IST 2026, 261 W
Tue Feb  3 20:25:16 IST 2026, 256 W
Tue Feb  3 20:25:17 IST 2026, 253 W
Tue Feb  3 20:25:18 IST 2026, 261 W
Tue Feb  3 20:25:19 IST 2026, 261 W
Tue Feb  3 20:25:20 IST 2026, 260 W
Tue Feb  3 20:25:21 IST 2026, 253 W
Tue Feb  3 20:25:22 IST 2026, 257 W
Tue Feb  3 20:25:23 IST 2026, 255 W
Tue Feb  3 20:25:24 IST 2026, 255 W
Tue Feb  3 20:25:25 IST 2026, 259 W
Tue Feb  3 20:25:26 IST 2026, 255 W
Tue Feb  3 20:25:27 IST 2026, 252 W
Tue Feb  3 20:25:28 IST 2026, 253 W
Tue Feb  3 20:25:29 IST 2026, 252 W
Tue Feb  3 20:25:30 IST 2026, 229 W
