timestamp, power.draw [W]
Tue Jan 13 18:52:13 IST 2026, 226 W
Tue Jan 13 18:52:13 IST 2026, 226 W
Tue Jan 13 18:52:13 IST 2026, 223 W
Tue Jan 13 18:52:13 IST 2026, 229 W
Tue Jan 13 18:52:13 IST 2026, 225 W
Tue Jan 13 18:52:13 IST 2026, 227 W
Tue Jan 13 18:52:13 IST 2026, 227 W
Tue Jan 13 18:52:13 IST 2026, 229 W
Tue Jan 13 18:52:14 IST 2026, 226 W
Tue Jan 13 18:52:14 IST 2026, 226 W
Tue Jan 13 18:52:14 IST 2026, 223 W
Tue Jan 13 18:52:14 IST 2026, 229 W
Tue Jan 13 18:52:14 IST 2026, 225 W
Tue Jan 13 18:52:14 IST 2026, 227 W
Tue Jan 13 18:52:14 IST 2026, 227 W
Tue Jan 13 18:52:14 IST 2026, 229 W
Tue Jan 13 18:52:15 IST 2026, 226 W
Tue Jan 13 18:52:15 IST 2026, 226 W
Tue Jan 13 18:52:15 IST 2026, 223 W
Tue Jan 13 18:52:15 IST 2026, 229 W
Tue Jan 13 18:52:15 IST 2026, 225 W
Tue Jan 13 18:52:15 IST 2026, 227 W
Tue Jan 13 18:52:15 IST 2026, 227 W
Tue Jan 13 18:52:15 IST 2026, 229 W
Tue Jan 13 18:52:16 IST 2026, 226 W
Tue Jan 13 18:52:16 IST 2026, 226 W
Tue Jan 13 18:52:16 IST 2026, 223 W
Tue Jan 13 18:52:16 IST 2026, 229 W
Tue Jan 13 18:52:16 IST 2026, 225 W
Tue Jan 13 18:52:16 IST 2026, 227 W
Tue Jan 13 18:52:16 IST 2026, 227 W
Tue Jan 13 18:52:16 IST 2026, 229 W
Tue Jan 13 18:52:17 IST 2026, 226 W
Tue Jan 13 18:52:17 IST 2026, 226 W
Tue Jan 13 18:52:17 IST 2026, 223 W
Tue Jan 13 18:52:17 IST 2026, 229 W
Tue Jan 13 18:52:17 IST 2026, 225 W
Tue Jan 13 18:52:17 IST 2026, 227 W
Tue Jan 13 18:52:17 IST 2026, 227 W
Tue Jan 13 18:52:17 IST 2026, 229 W
Tue Jan 13 18:52:18 IST 2026, 226 W
Tue Jan 13 18:52:18 IST 2026, 226 W
Tue Jan 13 18:52:18 IST 2026, 223 W
Tue Jan 13 18:52:18 IST 2026, 229 W
Tue Jan 13 18:52:18 IST 2026, 225 W
Tue Jan 13 18:52:18 IST 2026, 227 W
Tue Jan 13 18:52:18 IST 2026, 227 W
Tue Jan 13 18:52:18 IST 2026, 229 W
Tue Jan 13 18:52:19 IST 2026, 226 W
Tue Jan 13 18:52:19 IST 2026, 226 W
Tue Jan 13 18:52:19 IST 2026, 223 W
Tue Jan 13 18:52:19 IST 2026, 229 W
Tue Jan 13 18:52:19 IST 2026, 225 W
Tue Jan 13 18:52:19 IST 2026, 227 W
Tue Jan 13 18:52:19 IST 2026, 227 W
Tue Jan 13 18:52:19 IST 2026, 229 W
Tue Jan 13 18:52:20 IST 2026, 226 W
Tue Jan 13 18:52:20 IST 2026, 226 W
Tue Jan 13 18:52:20 IST 2026, 223 W
Tue Jan 13 18:52:20 IST 2026, 229 W
Tue Jan 13 18:52:20 IST 2026, 225 W
Tue Jan 13 18:52:20 IST 2026, 227 W
Tue Jan 13 18:52:20 IST 2026, 227 W
Tue Jan 13 18:52:20 IST 2026, 229 W
Tue Jan 13 18:52:21 IST 2026, 226 W
Tue Jan 13 18:52:21 IST 2026, 226 W
Tue Jan 13 18:52:21 IST 2026, 223 W
Tue Jan 13 18:52:21 IST 2026, 229 W
Tue Jan 13 18:52:21 IST 2026, 227 W
Tue Jan 13 18:52:21 IST 2026, 227 W
Tue Jan 13 18:52:21 IST 2026, 229 W
Tue Jan 13 18:52:21 IST 2026, 229 W
Tue Jan 13 18:52:22 IST 2026, 230 W
Tue Jan 13 18:52:22 IST 2026, 229 W
Tue Jan 13 18:52:22 IST 2026, 227 W
Tue Jan 13 18:52:22 IST 2026, 233 W
Tue Jan 13 18:52:22 IST 2026, 229 W
Tue Jan 13 18:52:22 IST 2026, 231 W
Tue Jan 13 18:52:22 IST 2026, 231 W
Tue Jan 13 18:52:22 IST 2026, 233 W
Tue Jan 13 18:52:23 IST 2026, 232 W
Tue Jan 13 18:52:23 IST 2026, 231 W
Tue Jan 13 18:52:23 IST 2026, 227 W
Tue Jan 13 18:52:23 IST 2026, 234 W
Tue Jan 13 18:52:23 IST 2026, 230 W
Tue Jan 13 18:52:23 IST 2026, 232 W
Tue Jan 13 18:52:23 IST 2026, 232 W
Tue Jan 13 18:52:23 IST 2026, 234 W
Tue Jan 13 18:52:24 IST 2026, 231 W
Tue Jan 13 18:52:24 IST 2026, 230 W
Tue Jan 13 18:52:24 IST 2026, 227 W
Tue Jan 13 18:52:24 IST 2026, 233 W
Tue Jan 13 18:52:24 IST 2026, 230 W
Tue Jan 13 18:52:24 IST 2026, 231 W
Tue Jan 13 18:52:24 IST 2026, 231 W
Tue Jan 13 18:52:24 IST 2026, 233 W
Tue Jan 13 18:52:25 IST 2026, 231 W
Tue Jan 13 18:52:25 IST 2026, 231 W
Tue Jan 13 18:52:25 IST 2026, 228 W
Tue Jan 13 18:52:25 IST 2026, 233 W
Tue Jan 13 18:52:25 IST 2026, 230 W
