timestamp, power.draw [W]
Tue Jan 13 19:30:56 IST 2026, 233 W
Tue Jan 13 19:30:56 IST 2026, 226 W
Tue Jan 13 19:30:57 IST 2026, 233 W
Tue Jan 13 19:30:57 IST 2026, 226 W
Tue Jan 13 19:30:58 IST 2026, 233 W
Tue Jan 13 19:30:58 IST 2026, 226 W
Tue Jan 13 19:30:59 IST 2026, 233 W
Tue Jan 13 19:30:59 IST 2026, 226 W
Tue Jan 13 19:31:00 IST 2026, 233 W
Tue Jan 13 19:31:00 IST 2026, 226 W
Tue Jan 13 19:31:01 IST 2026, 233 W
Tue Jan 13 19:31:01 IST 2026, 226 W
Tue Jan 13 19:31:02 IST 2026, 233 W
Tue Jan 13 19:31:02 IST 2026, 226 W
Tue Jan 13 19:31:03 IST 2026, 233 W
Tue Jan 13 19:31:03 IST 2026, 227 W
Tue Jan 13 19:31:04 IST 2026, 236 W
Tue Jan 13 19:31:04 IST 2026, 230 W
Tue Jan 13 19:31:05 IST 2026, 236 W
Tue Jan 13 19:31:05 IST 2026, 231 W
Tue Jan 13 19:31:06 IST 2026, 236 W
Tue Jan 13 19:31:06 IST 2026, 232 W
Tue Jan 13 19:31:07 IST 2026, 236 W
Tue Jan 13 19:31:07 IST 2026, 230 W
Tue Jan 13 19:31:08 IST 2026, 236 W
Tue Jan 13 19:31:08 IST 2026, 231 W
Tue Jan 13 19:31:09 IST 2026, 237 W
Tue Jan 13 19:31:09 IST 2026, 231 W
Tue Jan 13 19:31:10 IST 2026, 235 W
Tue Jan 13 19:31:10 IST 2026, 229 W
Tue Jan 13 19:31:11 IST 2026, 236 W
Tue Jan 13 19:31:11 IST 2026, 231 W
Tue Jan 13 19:31:12 IST 2026, 236 W
Tue Jan 13 19:31:12 IST 2026, 230 W
Tue Jan 13 19:31:13 IST 2026, 349 W
Tue Jan 13 19:31:13 IST 2026, 309 W
Tue Jan 13 19:31:14 IST 2026, 263 W
Tue Jan 13 19:31:14 IST 2026, 253 W
Tue Jan 13 19:31:15 IST 2026, 265 W
Tue Jan 13 19:31:15 IST 2026, 257 W
Tue Jan 13 19:31:16 IST 2026, 258 W
Tue Jan 13 19:31:16 IST 2026, 257 W
Tue Jan 13 19:31:17 IST 2026, 256 W
Tue Jan 13 19:31:17 IST 2026, 247 W
Tue Jan 13 19:31:18 IST 2026, 259 W
Tue Jan 13 19:31:18 IST 2026, 252 W
Tue Jan 13 19:31:19 IST 2026, 262 W
Tue Jan 13 19:31:19 IST 2026, 254 W
Tue Jan 13 19:31:20 IST 2026, 262 W
Tue Jan 13 19:31:20 IST 2026, 255 W
Tue Jan 13 19:31:21 IST 2026, 256 W
Tue Jan 13 19:31:21 IST 2026, 258 W
Tue Jan 13 19:31:22 IST 2026, 261 W
Tue Jan 13 19:31:22 IST 2026, 245 W
Tue Jan 13 19:31:23 IST 2026, 257 W
Tue Jan 13 19:31:23 IST 2026, 252 W
Tue Jan 13 19:31:24 IST 2026, 263 W
Tue Jan 13 19:31:24 IST 2026, 249 W
Tue Jan 13 19:31:25 IST 2026, 261 W
Tue Jan 13 19:31:25 IST 2026, 250 W
Tue Jan 13 19:31:26 IST 2026, 262 W
Tue Jan 13 19:31:26 IST 2026, 255 W
Tue Jan 13 19:31:27 IST 2026, 256 W
Tue Jan 13 19:31:27 IST 2026, 253 W
Tue Jan 13 19:31:28 IST 2026, 255 W
Tue Jan 13 19:31:28 IST 2026, 253 W
Tue Jan 13 19:31:29 IST 2026, 264 W
Tue Jan 13 19:31:29 IST 2026, 253 W
Tue Jan 13 19:31:30 IST 2026, 259 W
Tue Jan 13 19:31:30 IST 2026, 249 W
Tue Jan 13 19:31:31 IST 2026, 261 W
Tue Jan 13 19:31:31 IST 2026, 253 W
Tue Jan 13 19:31:32 IST 2026, 257 W
Tue Jan 13 19:31:32 IST 2026, 256 W
Tue Jan 13 19:31:33 IST 2026, 253 W
Tue Jan 13 19:31:33 IST 2026, 257 W
Tue Jan 13 19:31:34 IST 2026, 258 W
Tue Jan 13 19:31:34 IST 2026, 256 W
Tue Jan 13 19:31:35 IST 2026, 258 W
Tue Jan 13 19:31:35 IST 2026, 256 W
Tue Jan 13 19:31:36 IST 2026, 259 W
Tue Jan 13 19:31:36 IST 2026, 249 W
Tue Jan 13 19:31:37 IST 2026, 258 W
Tue Jan 13 19:31:37 IST 2026, 248 W
Tue Jan 13 19:31:38 IST 2026, 257 W
Tue Jan 13 19:31:38 IST 2026, 253 W
Tue Jan 13 19:31:39 IST 2026, 254 W
Tue Jan 13 19:31:39 IST 2026, 251 W
Tue Jan 13 19:31:40 IST 2026, 262 W
Tue Jan 13 19:31:40 IST 2026, 255 W
Tue Jan 13 19:31:41 IST 2026, 260 W
Tue Jan 13 19:31:41 IST 2026, 252 W
Tue Jan 13 19:31:42 IST 2026, 258 W
Tue Jan 13 19:31:42 IST 2026, 257 W
Tue Jan 13 19:31:43 IST 2026, 255 W
Tue Jan 13 19:31:43 IST 2026, 252 W
Tue Jan 13 19:31:44 IST 2026, 260 W
Tue Jan 13 19:31:44 IST 2026, 255 W
Tue Jan 13 19:31:45 IST 2026, 262 W
Tue Jan 13 19:31:45 IST 2026, 255 W
Tue Jan 13 19:31:46 IST 2026, 254 W
Tue Jan 13 19:31:46 IST 2026, 251 W
Tue Jan 13 19:31:47 IST 2026, 257 W
Tue Jan 13 19:31:47 IST 2026, 255 W
Tue Jan 13 19:31:48 IST 2026, 257 W
Tue Jan 13 19:31:48 IST 2026, 251 W
Tue Jan 13 19:31:49 IST 2026, 258 W
Tue Jan 13 19:31:49 IST 2026, 254 W
Tue Jan 13 19:31:50 IST 2026, 261 W
Tue Jan 13 19:31:50 IST 2026, 254 W
Tue Jan 13 19:31:51 IST 2026, 260 W
Tue Jan 13 19:31:51 IST 2026, 254 W
Tue Jan 13 19:31:52 IST 2026, 259 W
Tue Jan 13 19:31:52 IST 2026, 250 W
Tue Jan 13 19:31:53 IST 2026, 264 W
Tue Jan 13 19:31:53 IST 2026, 256 W
Tue Jan 13 19:31:54 IST 2026, 260 W
Tue Jan 13 19:31:54 IST 2026, 252 W
Tue Jan 13 19:31:55 IST 2026, 267 W
Tue Jan 13 19:31:55 IST 2026, 259 W
Tue Jan 13 19:31:56 IST 2026, 251 W
Tue Jan 13 19:31:56 IST 2026, 259 W
Tue Jan 13 19:31:57 IST 2026, 260 W
Tue Jan 13 19:31:57 IST 2026, 246 W
Tue Jan 13 19:31:58 IST 2026, 266 W
Tue Jan 13 19:31:58 IST 2026, 251 W
Tue Jan 13 19:31:59 IST 2026, 255 W
Tue Jan 13 19:31:59 IST 2026, 254 W
Tue Jan 13 19:32:00 IST 2026, 263 W
Tue Jan 13 19:32:00 IST 2026, 252 W
Tue Jan 13 19:32:01 IST 2026, 266 W
Tue Jan 13 19:32:01 IST 2026, 254 W
Tue Jan 13 19:32:02 IST 2026, 258 W
Tue Jan 13 19:32:02 IST 2026, 252 W
Tue Jan 13 19:32:03 IST 2026, 262 W
Tue Jan 13 19:32:03 IST 2026, 255 W
Tue Jan 13 19:32:04 IST 2026, 254 W
Tue Jan 13 19:32:04 IST 2026, 251 W
Tue Jan 13 19:32:05 IST 2026, 256 W
Tue Jan 13 19:32:05 IST 2026, 259 W
Tue Jan 13 19:32:06 IST 2026, 258 W
Tue Jan 13 19:32:06 IST 2026, 249 W
Tue Jan 13 19:32:07 IST 2026, 255 W
Tue Jan 13 19:32:07 IST 2026, 252 W
Tue Jan 13 19:32:08 IST 2026, 265 W
Tue Jan 13 19:32:08 IST 2026, 257 W
Tue Jan 13 19:32:09 IST 2026, 261 W
Tue Jan 13 19:32:09 IST 2026, 252 W
Tue Jan 13 19:32:10 IST 2026, 261 W
Tue Jan 13 19:32:10 IST 2026, 254 W
Tue Jan 13 19:32:11 IST 2026, 265 W
Tue Jan 13 19:32:11 IST 2026, 251 W
Tue Jan 13 19:32:12 IST 2026, 262 W
Tue Jan 13 19:32:12 IST 2026, 252 W
Tue Jan 13 19:32:13 IST 2026, 257 W
Tue Jan 13 19:32:13 IST 2026, 255 W
Tue Jan 13 19:32:14 IST 2026, 258 W
Tue Jan 13 19:32:14 IST 2026, 258 W
Tue Jan 13 19:32:15 IST 2026, 256 W
Tue Jan 13 19:32:15 IST 2026, 247 W
Tue Jan 13 19:32:16 IST 2026, 261 W
Tue Jan 13 19:32:16 IST 2026, 254 W
Tue Jan 13 19:32:17 IST 2026, 256 W
Tue Jan 13 19:32:17 IST 2026, 256 W
Tue Jan 13 19:32:18 IST 2026, 235 W
Tue Jan 13 19:32:18 IST 2026, 232 W
Tue Jan 13 19:32:19 IST 2026, 234 W
Tue Jan 13 19:32:19 IST 2026, 228 W
