timestamp, power.draw [W]
Fri Jan  9 20:02:05 IST 2026, 116 W
Fri Jan  9 20:02:05 IST 2026, 116 W
Fri Jan  9 20:02:06 IST 2026, 116 W
Fri Jan  9 20:02:06 IST 2026, 115 W
Fri Jan  9 20:02:07 IST 2026, 120 W
Fri Jan  9 20:02:07 IST 2026, 124 W
Fri Jan  9 20:02:08 IST 2026, 112 W
Fri Jan  9 20:02:08 IST 2026, 123 W
Fri Jan  9 20:02:09 IST 2026, 117 W
Fri Jan  9 20:02:09 IST 2026, 120 W
Fri Jan  9 20:02:10 IST 2026, 116 W
Fri Jan  9 20:02:10 IST 2026, 121 W
Fri Jan  9 20:02:11 IST 2026, 122 W
Fri Jan  9 20:02:11 IST 2026, 122 W
Fri Jan  9 20:02:12 IST 2026, 115 W
Fri Jan  9 20:02:12 IST 2026, 123 W
Fri Jan  9 20:02:13 IST 2026, 121 W
Fri Jan  9 20:02:13 IST 2026, 118 W
Fri Jan  9 20:02:14 IST 2026, 114 W
Fri Jan  9 20:02:14 IST 2026, 113 W
Fri Jan  9 20:02:15 IST 2026, 123 W
Fri Jan  9 20:02:15 IST 2026, 116 W
Fri Jan  9 20:02:16 IST 2026, 121 W
Fri Jan  9 20:02:16 IST 2026, 122 W
Fri Jan  9 20:02:17 IST 2026, 113 W
Fri Jan  9 20:02:17 IST 2026, 119 W
Fri Jan  9 20:02:18 IST 2026, 117 W
Fri Jan  9 20:02:18 IST 2026, 121 W
Fri Jan  9 20:02:19 IST 2026, 113 W
Fri Jan  9 20:02:19 IST 2026, 116 W
Fri Jan  9 20:02:20 IST 2026, 112 W
Fri Jan  9 20:02:20 IST 2026, 115 W
Fri Jan  9 20:02:21 IST 2026, 116 W
Fri Jan  9 20:02:21 IST 2026, 114 W
Fri Jan  9 20:02:22 IST 2026, 191 W
Fri Jan  9 20:02:22 IST 2026, 188 W
Fri Jan  9 20:02:23 IST 2026, 177 W
Fri Jan  9 20:02:23 IST 2026, 175 W
Fri Jan  9 20:02:24 IST 2026, 122 W
Fri Jan  9 20:02:24 IST 2026, 126 W
Fri Jan  9 20:02:25 IST 2026, 115 W
Fri Jan  9 20:02:25 IST 2026, 122 W
Fri Jan  9 20:02:26 IST 2026, 190 W
Fri Jan  9 20:02:26 IST 2026, 184 W
Fri Jan  9 20:02:27 IST 2026, 183 W
Fri Jan  9 20:02:27 IST 2026, 186 W
Fri Jan  9 20:02:28 IST 2026, 114 W
Fri Jan  9 20:02:28 IST 2026, 118 W
Fri Jan  9 20:02:29 IST 2026, 120 W
Fri Jan  9 20:02:29 IST 2026, 119 W
Fri Jan  9 20:02:30 IST 2026, 179 W
Fri Jan  9 20:02:30 IST 2026, 175 W
Fri Jan  9 20:02:31 IST 2026, 122 W
Fri Jan  9 20:02:31 IST 2026, 115 W
Fri Jan  9 20:02:32 IST 2026, 116 W
Fri Jan  9 20:02:32 IST 2026, 116 W
Fri Jan  9 20:02:33 IST 2026, 180 W
Fri Jan  9 20:02:33 IST 2026, 189 W
Fri Jan  9 20:02:34 IST 2026, 166 W
Fri Jan  9 20:02:34 IST 2026, 182 W
Fri Jan  9 20:02:35 IST 2026, 114 W
Fri Jan  9 20:02:35 IST 2026, 116 W
Fri Jan  9 20:02:36 IST 2026, 147 W
Fri Jan  9 20:02:36 IST 2026, 148 W
Fri Jan  9 20:02:37 IST 2026, 184 W
Fri Jan  9 20:02:37 IST 2026, 196 W
Fri Jan  9 20:02:38 IST 2026, 164 W
Fri Jan  9 20:02:38 IST 2026, 170 W
Fri Jan  9 20:02:39 IST 2026, 123 W
Fri Jan  9 20:02:39 IST 2026, 123 W
Fri Jan  9 20:02:40 IST 2026, 122 W
Fri Jan  9 20:02:40 IST 2026, 118 W
Fri Jan  9 20:02:41 IST 2026, 113 W
Fri Jan  9 20:02:41 IST 2026, 114 W
Fri Jan  9 20:02:42 IST 2026, 118 W
Fri Jan  9 20:02:42 IST 2026, 116 W
Fri Jan  9 20:02:43 IST 2026, 116 W
Fri Jan  9 20:02:43 IST 2026, 115 W
Fri Jan  9 20:02:44 IST 2026, 117 W
Fri Jan  9 20:02:44 IST 2026, 112 W
Fri Jan  9 20:02:45 IST 2026, 120 W
Fri Jan  9 20:02:45 IST 2026, 126 W
Fri Jan  9 20:02:46 IST 2026, 119 W
Fri Jan  9 20:02:46 IST 2026, 119 W
Fri Jan  9 20:02:47 IST 2026, 173 W
Fri Jan  9 20:02:47 IST 2026, 174 W
Fri Jan  9 20:02:48 IST 2026, 172 W
Fri Jan  9 20:02:48 IST 2026, 176 W
Fri Jan  9 20:02:49 IST 2026, 164 W
Fri Jan  9 20:02:49 IST 2026, 179 W
Fri Jan  9 20:02:50 IST 2026, 182 W
Fri Jan  9 20:02:50 IST 2026, 190 W
Fri Jan  9 20:02:51 IST 2026, 191 W
Fri Jan  9 20:02:51 IST 2026, 192 W
Fri Jan  9 20:02:52 IST 2026, 177 W
Fri Jan  9 20:02:52 IST 2026, 171 W
Fri Jan  9 20:02:53 IST 2026, 192 W
Fri Jan  9 20:02:53 IST 2026, 184 W
Fri Jan  9 20:02:54 IST 2026, 181 W
Fri Jan  9 20:02:54 IST 2026, 188 W
Fri Jan  9 20:02:55 IST 2026, 188 W
Fri Jan  9 20:02:55 IST 2026, 186 W
Fri Jan  9 20:02:56 IST 2026, 175 W
Fri Jan  9 20:02:56 IST 2026, 184 W
Fri Jan  9 20:02:57 IST 2026, 122 W
Fri Jan  9 20:02:57 IST 2026, 112 W
Fri Jan  9 20:02:58 IST 2026, 119 W
Fri Jan  9 20:02:58 IST 2026, 117 W
Fri Jan  9 20:02:59 IST 2026, 126 W
Fri Jan  9 20:02:59 IST 2026, 121 W
Fri Jan  9 20:03:00 IST 2026, 115 W
Fri Jan  9 20:03:00 IST 2026, 120 W
Fri Jan  9 20:03:01 IST 2026, 121 W
Fri Jan  9 20:03:01 IST 2026, 118 W
Fri Jan  9 20:03:02 IST 2026, 161 W
Fri Jan  9 20:03:02 IST 2026, 167 W
Fri Jan  9 20:03:03 IST 2026, 177 W
Fri Jan  9 20:03:03 IST 2026, 175 W
Fri Jan  9 20:03:04 IST 2026, 193 W
Fri Jan  9 20:03:04 IST 2026, 188 W
Fri Jan  9 20:03:05 IST 2026, 197 W
Fri Jan  9 20:03:05 IST 2026, 184 W
Fri Jan  9 20:03:06 IST 2026, 186 W
Fri Jan  9 20:03:06 IST 2026, 183 W
Fri Jan  9 20:03:07 IST 2026, 178 W
Fri Jan  9 20:03:07 IST 2026, 188 W
Fri Jan  9 20:03:08 IST 2026, 175 W
Fri Jan  9 20:03:08 IST 2026, 196 W
Fri Jan  9 20:03:09 IST 2026, 190 W
Fri Jan  9 20:03:09 IST 2026, 196 W
Fri Jan  9 20:03:10 IST 2026, 181 W
Fri Jan  9 20:03:10 IST 2026, 174 W
Fri Jan  9 20:03:11 IST 2026, 182 W
Fri Jan  9 20:03:11 IST 2026, 188 W
Fri Jan  9 20:03:12 IST 2026, 182 W
Fri Jan  9 20:03:12 IST 2026, 180 W
Fri Jan  9 20:03:13 IST 2026, 186 W
Fri Jan  9 20:03:13 IST 2026, 183 W
