timestamp, power.draw [W]
Fri Jan  9 19:41:12 IST 2026, 112 W
Fri Jan  9 19:41:12 IST 2026, 123 W
Fri Jan  9 19:41:13 IST 2026, 113 W
Fri Jan  9 19:41:13 IST 2026, 122 W
Fri Jan  9 19:41:14 IST 2026, 116 W
Fri Jan  9 19:41:14 IST 2026, 125 W
Fri Jan  9 19:41:15 IST 2026, 117 W
Fri Jan  9 19:41:15 IST 2026, 118 W
Fri Jan  9 19:41:16 IST 2026, 115 W
Fri Jan  9 19:41:16 IST 2026, 115 W
Fri Jan  9 19:41:17 IST 2026, 124 W
Fri Jan  9 19:41:17 IST 2026, 116 W
Fri Jan  9 19:41:18 IST 2026, 122 W
Fri Jan  9 19:41:18 IST 2026, 120 W
Fri Jan  9 19:41:19 IST 2026, 124 W
Fri Jan  9 19:41:19 IST 2026, 119 W
Fri Jan  9 19:41:20 IST 2026, 116 W
Fri Jan  9 19:41:20 IST 2026, 120 W
Fri Jan  9 19:41:21 IST 2026, 115 W
Fri Jan  9 19:41:21 IST 2026, 114 W
Fri Jan  9 19:41:22 IST 2026, 122 W
Fri Jan  9 19:41:22 IST 2026, 118 W
Fri Jan  9 19:41:23 IST 2026, 118 W
Fri Jan  9 19:41:23 IST 2026, 126 W
Fri Jan  9 19:41:24 IST 2026, 118 W
Fri Jan  9 19:41:24 IST 2026, 114 W
Fri Jan  9 19:41:25 IST 2026, 111 W
Fri Jan  9 19:41:25 IST 2026, 116 W
Fri Jan  9 19:41:26 IST 2026, 125 W
Fri Jan  9 19:41:26 IST 2026, 122 W
Fri Jan  9 19:41:27 IST 2026, 117 W
Fri Jan  9 19:41:27 IST 2026, 119 W
Fri Jan  9 19:41:28 IST 2026, 119 W
Fri Jan  9 19:41:28 IST 2026, 126 W
Fri Jan  9 19:41:29 IST 2026, 117 W
Fri Jan  9 19:41:29 IST 2026, 118 W
Fri Jan  9 19:41:30 IST 2026, 116 W
Fri Jan  9 19:41:30 IST 2026, 112 W
Fri Jan  9 19:41:31 IST 2026, 116 W
Fri Jan  9 19:41:31 IST 2026, 113 W
Fri Jan  9 19:41:32 IST 2026, 180 W
Fri Jan  9 19:41:32 IST 2026, 186 W
Fri Jan  9 19:41:33 IST 2026, 186 W
Fri Jan  9 19:41:33 IST 2026, 185 W
Fri Jan  9 19:41:34 IST 2026, 174 W
Fri Jan  9 19:41:34 IST 2026, 183 W
Fri Jan  9 19:41:35 IST 2026, 117 W
Fri Jan  9 19:41:35 IST 2026, 117 W
Fri Jan  9 19:41:36 IST 2026, 180 W
Fri Jan  9 19:41:36 IST 2026, 182 W
Fri Jan  9 19:41:37 IST 2026, 184 W
Fri Jan  9 19:41:37 IST 2026, 190 W
Fri Jan  9 19:41:38 IST 2026, 117 W
Fri Jan  9 19:41:38 IST 2026, 118 W
Fri Jan  9 19:41:39 IST 2026, 125 W
Fri Jan  9 19:41:39 IST 2026, 124 W
Fri Jan  9 19:41:40 IST 2026, 190 W
Fri Jan  9 19:41:40 IST 2026, 185 W
Fri Jan  9 19:41:41 IST 2026, 120 W
Fri Jan  9 19:41:41 IST 2026, 122 W
Fri Jan  9 19:41:42 IST 2026, 115 W
Fri Jan  9 19:41:42 IST 2026, 114 W
Fri Jan  9 19:41:44 IST 2026, 187 W
Fri Jan  9 19:41:44 IST 2026, 191 W
Fri Jan  9 19:41:44 IST 2026, 119 W
Fri Jan  9 19:41:44 IST 2026, 117 W
Fri Jan  9 19:41:45 IST 2026, 118 W
Fri Jan  9 19:41:45 IST 2026, 120 W
Fri Jan  9 19:41:46 IST 2026, 115 W
Fri Jan  9 19:41:46 IST 2026, 126 W
Fri Jan  9 19:41:47 IST 2026, 117 W
Fri Jan  9 19:41:47 IST 2026, 118 W
Fri Jan  9 19:41:48 IST 2026, 116 W
Fri Jan  9 19:41:48 IST 2026, 118 W
Fri Jan  9 19:41:49 IST 2026, 117 W
Fri Jan  9 19:41:49 IST 2026, 116 W
Fri Jan  9 19:41:50 IST 2026, 114 W
Fri Jan  9 19:41:50 IST 2026, 120 W
Fri Jan  9 19:41:51 IST 2026, 113 W
Fri Jan  9 19:41:51 IST 2026, 116 W
Fri Jan  9 19:41:52 IST 2026, 167 W
Fri Jan  9 19:41:52 IST 2026, 174 W
Fri Jan  9 19:41:53 IST 2026, 175 W
Fri Jan  9 19:41:53 IST 2026, 177 W
Fri Jan  9 19:41:54 IST 2026, 177 W
Fri Jan  9 19:41:54 IST 2026, 174 W
Fri Jan  9 19:41:55 IST 2026, 191 W
Fri Jan  9 19:41:55 IST 2026, 180 W
Fri Jan  9 19:41:56 IST 2026, 187 W
Fri Jan  9 19:41:56 IST 2026, 184 W
Fri Jan  9 19:41:57 IST 2026, 175 W
Fri Jan  9 19:41:57 IST 2026, 181 W
Fri Jan  9 19:41:58 IST 2026, 177 W
Fri Jan  9 19:41:58 IST 2026, 188 W
Fri Jan  9 19:41:59 IST 2026, 194 W
Fri Jan  9 19:41:59 IST 2026, 190 W
Fri Jan  9 19:42:00 IST 2026, 113 W
Fri Jan  9 19:42:00 IST 2026, 123 W
Fri Jan  9 19:42:01 IST 2026, 124 W
Fri Jan  9 19:42:01 IST 2026, 119 W
Fri Jan  9 19:42:02 IST 2026, 118 W
Fri Jan  9 19:42:02 IST 2026, 121 W
Fri Jan  9 19:42:03 IST 2026, 116 W
Fri Jan  9 19:42:03 IST 2026, 121 W
Fri Jan  9 19:42:04 IST 2026, 112 W
Fri Jan  9 19:42:04 IST 2026, 122 W
Fri Jan  9 19:42:05 IST 2026, 180 W
Fri Jan  9 19:42:05 IST 2026, 187 W
Fri Jan  9 19:42:06 IST 2026, 188 W
Fri Jan  9 19:42:06 IST 2026, 192 W
Fri Jan  9 19:42:07 IST 2026, 197 W
Fri Jan  9 19:42:07 IST 2026, 185 W
Fri Jan  9 19:42:08 IST 2026, 188 W
Fri Jan  9 19:42:08 IST 2026, 195 W
Fri Jan  9 19:42:09 IST 2026, 178 W
Fri Jan  9 19:42:09 IST 2026, 179 W
Fri Jan  9 19:42:10 IST 2026, 177 W
Fri Jan  9 19:42:10 IST 2026, 178 W
Fri Jan  9 19:42:11 IST 2026, 186 W
Fri Jan  9 19:42:11 IST 2026, 185 W
Fri Jan  9 19:42:12 IST 2026, 182 W
Fri Jan  9 19:42:12 IST 2026, 180 W
Fri Jan  9 19:42:13 IST 2026, 191 W
Fri Jan  9 19:42:13 IST 2026, 198 W
Fri Jan  9 19:42:14 IST 2026, 169 W
Fri Jan  9 19:42:14 IST 2026, 178 W
Fri Jan  9 19:42:15 IST 2026, 174 W
Fri Jan  9 19:42:15 IST 2026, 182 W
Fri Jan  9 19:42:16 IST 2026, 180 W
Fri Jan  9 19:42:16 IST 2026, 185 W
Fri Jan  9 19:42:17 IST 2026, 111 W
Fri Jan  9 19:42:17 IST 2026, 120 W
Fri Jan  9 19:42:18 IST 2026, 114 W
Fri Jan  9 19:42:18 IST 2026, 120 W
Fri Jan  9 19:42:19 IST 2026, 113 W
Fri Jan  9 19:42:19 IST 2026, 116 W
Fri Jan  9 19:42:20 IST 2026, 117 W
Fri Jan  9 19:42:20 IST 2026, 123 W
Fri Jan  9 19:42:21 IST 2026, 111 W
Fri Jan  9 19:42:21 IST 2026, 113 W
Fri Jan  9 19:42:22 IST 2026, 165 W
Fri Jan  9 19:42:22 IST 2026, 169 W
Fri Jan  9 19:42:23 IST 2026, 176 W
Fri Jan  9 19:42:23 IST 2026, 169 W
Fri Jan  9 19:42:24 IST 2026, 182 W
