timestamp, power.draw [W]
Mon Jan  5 21:04:00 IST 2026, 86 W
Mon Jan  5 21:04:00 IST 2026, 82 W
Mon Jan  5 21:04:01 IST 2026, 90 W
Mon Jan  5 21:04:01 IST 2026, 83 W
Mon Jan  5 21:04:02 IST 2026, 83 W
Mon Jan  5 21:04:02 IST 2026, 86 W
Mon Jan  5 21:04:03 IST 2026, 92 W
Mon Jan  5 21:04:03 IST 2026, 78 W
Mon Jan  5 21:04:04 IST 2026, 88 W
Mon Jan  5 21:04:04 IST 2026, 85 W
Mon Jan  5 21:04:05 IST 2026, 92 W
Mon Jan  5 21:04:05 IST 2026, 86 W
Mon Jan  5 21:04:06 IST 2026, 164 W
Mon Jan  5 21:04:06 IST 2026, 152 W
Mon Jan  5 21:04:07 IST 2026, 162 W
Mon Jan  5 21:04:07 IST 2026, 136 W
Mon Jan  5 21:04:08 IST 2026, 163 W
Mon Jan  5 21:04:08 IST 2026, 154 W
Mon Jan  5 21:04:09 IST 2026, 157 W
Mon Jan  5 21:04:09 IST 2026, 141 W
Mon Jan  5 21:04:10 IST 2026, 143 W
Mon Jan  5 21:04:10 IST 2026, 151 W
Mon Jan  5 21:04:11 IST 2026, 156 W
Mon Jan  5 21:04:11 IST 2026, 140 W
Mon Jan  5 21:04:12 IST 2026, 150 W
Mon Jan  5 21:04:12 IST 2026, 146 W
Mon Jan  5 21:04:13 IST 2026, 144 W
Mon Jan  5 21:04:13 IST 2026, 141 W
Mon Jan  5 21:04:14 IST 2026, 157 W
Mon Jan  5 21:04:14 IST 2026, 152 W
Mon Jan  5 21:04:15 IST 2026, 179 W
Mon Jan  5 21:04:15 IST 2026, 160 W
Mon Jan  5 21:04:16 IST 2026, 163 W
Mon Jan  5 21:04:16 IST 2026, 147 W
Mon Jan  5 21:04:17 IST 2026, 153 W
Mon Jan  5 21:04:17 IST 2026, 148 W
Mon Jan  5 21:04:18 IST 2026, 155 W
Mon Jan  5 21:04:18 IST 2026, 151 W
Mon Jan  5 21:04:19 IST 2026, 152 W
Mon Jan  5 21:04:19 IST 2026, 139 W
