timestamp, power.draw [W]
Sat Oct 18 17:07:52 IDT 2025, 123 W
Sat Oct 18 17:07:52 IDT 2025, 120 W
Sat Oct 18 17:07:52 IDT 2025, 121 W
Sat Oct 18 17:07:52 IDT 2025, 109 W
Sat Oct 18 17:07:53 IDT 2025, 119 W
Sat Oct 18 17:07:53 IDT 2025, 114 W
Sat Oct 18 17:07:53 IDT 2025, 114 W
Sat Oct 18 17:07:53 IDT 2025, 118 W
Sat Oct 18 17:07:54 IDT 2025, 127 W
Sat Oct 18 17:07:54 IDT 2025, 114 W
Sat Oct 18 17:07:54 IDT 2025, 119 W
Sat Oct 18 17:07:54 IDT 2025, 118 W
Sat Oct 18 17:07:55 IDT 2025, 124 W
Sat Oct 18 17:07:55 IDT 2025, 117 W
Sat Oct 18 17:07:55 IDT 2025, 117 W
Sat Oct 18 17:07:55 IDT 2025, 114 W
Sat Oct 18 17:07:56 IDT 2025, 119 W
Sat Oct 18 17:07:56 IDT 2025, 112 W
Sat Oct 18 17:07:56 IDT 2025, 115 W
Sat Oct 18 17:07:56 IDT 2025, 112 W
Sat Oct 18 17:07:57 IDT 2025, 120 W
Sat Oct 18 17:07:57 IDT 2025, 113 W
Sat Oct 18 17:07:57 IDT 2025, 115 W
Sat Oct 18 17:07:57 IDT 2025, 117 W
Sat Oct 18 17:07:58 IDT 2025, 124 W
Sat Oct 18 17:07:58 IDT 2025, 113 W
Sat Oct 18 17:07:58 IDT 2025, 114 W
Sat Oct 18 17:07:58 IDT 2025, 116 W
Sat Oct 18 17:07:59 IDT 2025, 118 W
Sat Oct 18 17:07:59 IDT 2025, 118 W
Sat Oct 18 17:07:59 IDT 2025, 115 W
Sat Oct 18 17:07:59 IDT 2025, 117 W
Sat Oct 18 17:08:00 IDT 2025, 122 W
Sat Oct 18 17:08:00 IDT 2025, 113 W
Sat Oct 18 17:08:00 IDT 2025, 117 W
Sat Oct 18 17:08:00 IDT 2025, 114 W
Sat Oct 18 17:08:01 IDT 2025, 119 W
Sat Oct 18 17:08:01 IDT 2025, 116 W
Sat Oct 18 17:08:01 IDT 2025, 119 W
Sat Oct 18 17:08:01 IDT 2025, 114 W
Sat Oct 18 17:08:02 IDT 2025, 120 W
Sat Oct 18 17:08:02 IDT 2025, 115 W
Sat Oct 18 17:08:02 IDT 2025, 115 W
Sat Oct 18 17:08:02 IDT 2025, 114 W
Sat Oct 18 17:08:03 IDT 2025, 125 W
Sat Oct 18 17:08:03 IDT 2025, 121 W
Sat Oct 18 17:08:03 IDT 2025, 117 W
Sat Oct 18 17:08:03 IDT 2025, 116 W
Sat Oct 18 17:08:04 IDT 2025, 121 W
Sat Oct 18 17:08:04 IDT 2025, 113 W
Sat Oct 18 17:08:04 IDT 2025, 117 W
Sat Oct 18 17:08:04 IDT 2025, 114 W
Sat Oct 18 17:08:05 IDT 2025, 122 W
Sat Oct 18 17:08:05 IDT 2025, 118 W
Sat Oct 18 17:08:05 IDT 2025, 118 W
Sat Oct 18 17:08:05 IDT 2025, 113 W
Sat Oct 18 17:08:06 IDT 2025, 161 W
Sat Oct 18 17:08:06 IDT 2025, 146 W
Sat Oct 18 17:08:06 IDT 2025, 155 W
Sat Oct 18 17:08:06 IDT 2025, 160 W
Sat Oct 18 17:08:07 IDT 2025, 175 W
Sat Oct 18 17:08:07 IDT 2025, 166 W
Sat Oct 18 17:08:07 IDT 2025, 170 W
Sat Oct 18 17:08:07 IDT 2025, 162 W
Sat Oct 18 17:08:08 IDT 2025, 179 W
Sat Oct 18 17:08:08 IDT 2025, 152 W
Sat Oct 18 17:08:08 IDT 2025, 159 W
Sat Oct 18 17:08:08 IDT 2025, 156 W
Sat Oct 18 17:08:09 IDT 2025, 174 W
Sat Oct 18 17:08:09 IDT 2025, 151 W
Sat Oct 18 17:08:09 IDT 2025, 165 W
Sat Oct 18 17:08:09 IDT 2025, 163 W
Sat Oct 18 17:08:10 IDT 2025, 168 W
Sat Oct 18 17:08:10 IDT 2025, 167 W
Sat Oct 18 17:08:10 IDT 2025, 167 W
Sat Oct 18 17:08:10 IDT 2025, 167 W
Sat Oct 18 17:08:11 IDT 2025, 118 W
Sat Oct 18 17:08:11 IDT 2025, 115 W
Sat Oct 18 17:08:11 IDT 2025, 120 W
Sat Oct 18 17:08:11 IDT 2025, 116 W
Sat Oct 18 17:08:12 IDT 2025, 127 W
Sat Oct 18 17:08:12 IDT 2025, 116 W
Sat Oct 18 17:08:12 IDT 2025, 119 W
Sat Oct 18 17:08:12 IDT 2025, 121 W
Sat Oct 18 17:08:13 IDT 2025, 161 W
Sat Oct 18 17:08:13 IDT 2025, 160 W
Sat Oct 18 17:08:13 IDT 2025, 166 W
Sat Oct 18 17:08:13 IDT 2025, 161 W
Sat Oct 18 17:08:14 IDT 2025, 127 W
Sat Oct 18 17:08:14 IDT 2025, 111 W
Sat Oct 18 17:08:14 IDT 2025, 117 W
Sat Oct 18 17:08:14 IDT 2025, 114 W
Sat Oct 18 17:08:15 IDT 2025, 120 W
Sat Oct 18 17:08:15 IDT 2025, 113 W
Sat Oct 18 17:08:15 IDT 2025, 123 W
Sat Oct 18 17:08:15 IDT 2025, 116 W
Sat Oct 18 17:08:16 IDT 2025, 162 W
Sat Oct 18 17:08:16 IDT 2025, 151 W
Sat Oct 18 17:08:16 IDT 2025, 163 W
Sat Oct 18 17:08:16 IDT 2025, 149 W
Sat Oct 18 17:08:17 IDT 2025, 170 W
Sat Oct 18 17:08:17 IDT 2025, 153 W
Sat Oct 18 17:08:17 IDT 2025, 155 W
Sat Oct 18 17:08:17 IDT 2025, 155 W
Sat Oct 18 17:08:18 IDT 2025, 168 W
Sat Oct 18 17:08:18 IDT 2025, 168 W
Sat Oct 18 17:08:18 IDT 2025, 169 W
Sat Oct 18 17:08:18 IDT 2025, 160 W
Sat Oct 18 17:08:19 IDT 2025, 159 W
Sat Oct 18 17:08:19 IDT 2025, 150 W
Sat Oct 18 17:08:19 IDT 2025, 150 W
Sat Oct 18 17:08:19 IDT 2025, 160 W
Sat Oct 18 17:08:20 IDT 2025, 121 W
Sat Oct 18 17:08:20 IDT 2025, 116 W
Sat Oct 18 17:08:20 IDT 2025, 120 W
Sat Oct 18 17:08:20 IDT 2025, 114 W
Sat Oct 18 17:08:21 IDT 2025, 166 W
Sat Oct 18 17:08:21 IDT 2025, 160 W
Sat Oct 18 17:08:21 IDT 2025, 163 W
Sat Oct 18 17:08:21 IDT 2025, 167 W
Sat Oct 18 17:08:22 IDT 2025, 127 W
Sat Oct 18 17:08:22 IDT 2025, 119 W
Sat Oct 18 17:08:22 IDT 2025, 116 W
Sat Oct 18 17:08:22 IDT 2025, 124 W
Sat Oct 18 17:08:23 IDT 2025, 120 W
Sat Oct 18 17:08:23 IDT 2025, 115 W
Sat Oct 18 17:08:23 IDT 2025, 117 W
Sat Oct 18 17:08:23 IDT 2025, 117 W
Sat Oct 18 17:08:24 IDT 2025, 163 W
Sat Oct 18 17:08:24 IDT 2025, 154 W
Sat Oct 18 17:08:24 IDT 2025, 152 W
Sat Oct 18 17:08:24 IDT 2025, 154 W
Sat Oct 18 17:08:25 IDT 2025, 162 W
Sat Oct 18 17:08:25 IDT 2025, 153 W
Sat Oct 18 17:08:25 IDT 2025, 160 W
Sat Oct 18 17:08:25 IDT 2025, 157 W
Sat Oct 18 17:08:26 IDT 2025, 125 W
Sat Oct 18 17:08:26 IDT 2025, 113 W
Sat Oct 18 17:08:26 IDT 2025, 121 W
Sat Oct 18 17:08:26 IDT 2025, 119 W
Sat Oct 18 17:08:27 IDT 2025, 123 W
Sat Oct 18 17:08:27 IDT 2025, 117 W
Sat Oct 18 17:08:27 IDT 2025, 115 W
Sat Oct 18 17:08:27 IDT 2025, 118 W
Sat Oct 18 17:08:28 IDT 2025, 118 W
Sat Oct 18 17:08:28 IDT 2025, 121 W
Sat Oct 18 17:08:28 IDT 2025, 111 W
Sat Oct 18 17:08:28 IDT 2025, 120 W
Sat Oct 18 17:08:29 IDT 2025, 122 W
Sat Oct 18 17:08:29 IDT 2025, 116 W
Sat Oct 18 17:08:29 IDT 2025, 118 W
Sat Oct 18 17:08:29 IDT 2025, 111 W
Sat Oct 18 17:08:30 IDT 2025, 126 W
Sat Oct 18 17:08:30 IDT 2025, 116 W
Sat Oct 18 17:08:30 IDT 2025, 114 W
Sat Oct 18 17:08:30 IDT 2025, 119 W
Sat Oct 18 17:08:31 IDT 2025, 170 W
Sat Oct 18 17:08:31 IDT 2025, 159 W
Sat Oct 18 17:08:31 IDT 2025, 163 W
Sat Oct 18 17:08:31 IDT 2025, 163 W
Sat Oct 18 17:08:32 IDT 2025, 162 W
Sat Oct 18 17:08:32 IDT 2025, 150 W
Sat Oct 18 17:08:32 IDT 2025, 162 W
Sat Oct 18 17:08:32 IDT 2025, 156 W
Sat Oct 18 17:08:33 IDT 2025, 173 W
Sat Oct 18 17:08:33 IDT 2025, 161 W
Sat Oct 18 17:08:33 IDT 2025, 175 W
Sat Oct 18 17:08:33 IDT 2025, 168 W
Sat Oct 18 17:08:34 IDT 2025, 171 W
Sat Oct 18 17:08:34 IDT 2025, 153 W
Sat Oct 18 17:08:34 IDT 2025, 167 W
Sat Oct 18 17:08:34 IDT 2025, 164 W
Sat Oct 18 17:08:35 IDT 2025, 168 W
Sat Oct 18 17:08:35 IDT 2025, 151 W
Sat Oct 18 17:08:35 IDT 2025, 163 W
Sat Oct 18 17:08:35 IDT 2025, 165 W
Sat Oct 18 17:08:36 IDT 2025, 163 W
Sat Oct 18 17:08:36 IDT 2025, 164 W
Sat Oct 18 17:08:36 IDT 2025, 162 W
Sat Oct 18 17:08:36 IDT 2025, 162 W
Sat Oct 18 17:08:37 IDT 2025, 163 W
Sat Oct 18 17:08:37 IDT 2025, 158 W
Sat Oct 18 17:08:37 IDT 2025, 153 W
Sat Oct 18 17:08:37 IDT 2025, 156 W
Sat Oct 18 17:08:38 IDT 2025, 170 W
Sat Oct 18 17:08:38 IDT 2025, 166 W
Sat Oct 18 17:08:38 IDT 2025, 160 W
Sat Oct 18 17:08:38 IDT 2025, 164 W
Sat Oct 18 17:08:39 IDT 2025, 160 W
Sat Oct 18 17:08:39 IDT 2025, 162 W
Sat Oct 18 17:08:39 IDT 2025, 152 W
Sat Oct 18 17:08:39 IDT 2025, 155 W
Sat Oct 18 17:08:40 IDT 2025, 176 W
Sat Oct 18 17:08:40 IDT 2025, 167 W
Sat Oct 18 17:08:40 IDT 2025, 160 W
Sat Oct 18 17:08:40 IDT 2025, 163 W
Sat Oct 18 17:08:41 IDT 2025, 165 W
Sat Oct 18 17:08:41 IDT 2025, 158 W
Sat Oct 18 17:08:41 IDT 2025, 161 W
Sat Oct 18 17:08:41 IDT 2025, 160 W
Sat Oct 18 17:08:42 IDT 2025, 171 W
Sat Oct 18 17:08:42 IDT 2025, 171 W
Sat Oct 18 17:08:42 IDT 2025, 157 W
Sat Oct 18 17:08:42 IDT 2025, 165 W
Sat Oct 18 17:08:43 IDT 2025, 166 W
Sat Oct 18 17:08:43 IDT 2025, 158 W
Sat Oct 18 17:08:43 IDT 2025, 160 W
Sat Oct 18 17:08:43 IDT 2025, 159 W
Sat Oct 18 17:08:44 IDT 2025, 121 W
Sat Oct 18 17:08:44 IDT 2025, 112 W
Sat Oct 18 17:08:44 IDT 2025, 116 W
Sat Oct 18 17:08:44 IDT 2025, 117 W
Sat Oct 18 17:08:45 IDT 2025, 121 W
Sat Oct 18 17:08:45 IDT 2025, 120 W
Sat Oct 18 17:08:45 IDT 2025, 124 W
Sat Oct 18 17:08:45 IDT 2025, 125 W
Sat Oct 18 17:08:46 IDT 2025, 125 W
Sat Oct 18 17:08:46 IDT 2025, 121 W
Sat Oct 18 17:08:46 IDT 2025, 114 W
Sat Oct 18 17:08:46 IDT 2025, 121 W
Sat Oct 18 17:08:47 IDT 2025, 128 W
Sat Oct 18 17:08:47 IDT 2025, 116 W
Sat Oct 18 17:08:47 IDT 2025, 118 W
Sat Oct 18 17:08:47 IDT 2025, 114 W
Sat Oct 18 17:08:48 IDT 2025, 207 W
Sat Oct 18 17:08:48 IDT 2025, 200 W
Sat Oct 18 17:08:48 IDT 2025, 200 W
Sat Oct 18 17:08:48 IDT 2025, 195 W
Sat Oct 18 17:08:49 IDT 2025, 170 W
Sat Oct 18 17:08:49 IDT 2025, 171 W
Sat Oct 18 17:08:49 IDT 2025, 157 W
Sat Oct 18 17:08:49 IDT 2025, 167 W
Sat Oct 18 17:08:50 IDT 2025, 172 W
Sat Oct 18 17:08:50 IDT 2025, 157 W
Sat Oct 18 17:08:50 IDT 2025, 156 W
Sat Oct 18 17:08:50 IDT 2025, 156 W
Sat Oct 18 17:08:51 IDT 2025, 171 W
Sat Oct 18 17:08:51 IDT 2025, 157 W
Sat Oct 18 17:08:51 IDT 2025, 158 W
