timestamp, power.draw [W]
Tue Jan  6 20:02:46 IST 2026, 92 W
Tue Jan  6 20:02:46 IST 2026, 92 W
Tue Jan  6 20:02:46 IST 2026, 97 W
Tue Jan  6 20:02:46 IST 2026, 100 W
Tue Jan  6 20:02:47 IST 2026, 93 W
Tue Jan  6 20:02:47 IST 2026, 91 W
Tue Jan  6 20:02:47 IST 2026, 97 W
Tue Jan  6 20:02:47 IST 2026, 103 W
Tue Jan  6 20:02:48 IST 2026, 94 W
Tue Jan  6 20:02:48 IST 2026, 96 W
Tue Jan  6 20:02:48 IST 2026, 96 W
Tue Jan  6 20:02:48 IST 2026, 101 W
Tue Jan  6 20:02:49 IST 2026, 91 W
Tue Jan  6 20:02:49 IST 2026, 99 W
Tue Jan  6 20:02:49 IST 2026, 99 W
Tue Jan  6 20:02:49 IST 2026, 104 W
Tue Jan  6 20:02:50 IST 2026, 93 W
Tue Jan  6 20:02:50 IST 2026, 92 W
Tue Jan  6 20:02:50 IST 2026, 100 W
Tue Jan  6 20:02:50 IST 2026, 97 W
Tue Jan  6 20:02:51 IST 2026, 98 W
Tue Jan  6 20:02:51 IST 2026, 100 W
Tue Jan  6 20:02:51 IST 2026, 100 W
Tue Jan  6 20:02:51 IST 2026, 98 W
Tue Jan  6 20:02:52 IST 2026, 93 W
Tue Jan  6 20:02:52 IST 2026, 97 W
Tue Jan  6 20:02:52 IST 2026, 100 W
Tue Jan  6 20:02:52 IST 2026, 106 W
Tue Jan  6 20:02:53 IST 2026, 93 W
Tue Jan  6 20:02:53 IST 2026, 95 W
Tue Jan  6 20:02:53 IST 2026, 102 W
Tue Jan  6 20:02:53 IST 2026, 108 W
Tue Jan  6 20:02:54 IST 2026, 91 W
Tue Jan  6 20:02:54 IST 2026, 99 W
Tue Jan  6 20:02:54 IST 2026, 96 W
Tue Jan  6 20:02:54 IST 2026, 106 W
Tue Jan  6 20:02:55 IST 2026, 95 W
