timestamp, power.draw [W]
Thu Jan 22 20:17:00 IST 2026, 82 W
Thu Jan 22 20:17:00 IST 2026, 86 W
Thu Jan 22 20:17:00 IST 2026, 90 W
Thu Jan 22 20:17:00 IST 2026, 81 W
Thu Jan 22 20:17:01 IST 2026, 86 W
Thu Jan 22 20:17:01 IST 2026, 84 W
Thu Jan 22 20:17:01 IST 2026, 93 W
Thu Jan 22 20:17:01 IST 2026, 79 W
Thu Jan 22 20:17:02 IST 2026, 84 W
Thu Jan 22 20:17:02 IST 2026, 86 W
Thu Jan 22 20:17:02 IST 2026, 93 W
Thu Jan 22 20:17:02 IST 2026, 85 W
Thu Jan 22 20:17:03 IST 2026, 82 W
Thu Jan 22 20:17:03 IST 2026, 86 W
Thu Jan 22 20:17:03 IST 2026, 92 W
Thu Jan 22 20:17:03 IST 2026, 84 W
Thu Jan 22 20:17:04 IST 2026, 84 W
Thu Jan 22 20:17:04 IST 2026, 83 W
Thu Jan 22 20:17:04 IST 2026, 93 W
Thu Jan 22 20:17:04 IST 2026, 80 W
Thu Jan 22 20:17:05 IST 2026, 84 W
Thu Jan 22 20:17:05 IST 2026, 86 W
Thu Jan 22 20:17:05 IST 2026, 93 W
Thu Jan 22 20:17:05 IST 2026, 83 W
Thu Jan 22 20:17:06 IST 2026, 83 W
Thu Jan 22 20:17:06 IST 2026, 88 W
Thu Jan 22 20:17:06 IST 2026, 93 W
Thu Jan 22 20:17:06 IST 2026, 80 W
Thu Jan 22 20:17:07 IST 2026, 86 W
Thu Jan 22 20:17:07 IST 2026, 84 W
Thu Jan 22 20:17:07 IST 2026, 94 W
Thu Jan 22 20:17:07 IST 2026, 81 W
Thu Jan 22 20:17:08 IST 2026, 85 W
Thu Jan 22 20:17:08 IST 2026, 86 W
Thu Jan 22 20:17:08 IST 2026, 93 W
Thu Jan 22 20:17:08 IST 2026, 82 W
Thu Jan 22 20:17:09 IST 2026, 82 W
Thu Jan 22 20:17:09 IST 2026, 89 W
Thu Jan 22 20:17:09 IST 2026, 92 W
Thu Jan 22 20:17:09 IST 2026, 79 W
Thu Jan 22 20:17:10 IST 2026, 83 W
Thu Jan 22 20:17:10 IST 2026, 87 W
Thu Jan 22 20:17:10 IST 2026, 93 W
Thu Jan 22 20:17:10 IST 2026, 78 W
Thu Jan 22 20:17:11 IST 2026, 82 W
Thu Jan 22 20:17:11 IST 2026, 84 W
Thu Jan 22 20:17:11 IST 2026, 93 W
