timestamp, power.draw [W]
Thu Jan 22 19:56:10 IST 2026, 81 W
Thu Jan 22 19:56:10 IST 2026, 86 W
Thu Jan 22 19:56:10 IST 2026, 93 W
Thu Jan 22 19:56:10 IST 2026, 81 W
Thu Jan 22 19:56:11 IST 2026, 82 W
Thu Jan 22 19:56:11 IST 2026, 83 W
Thu Jan 22 19:56:11 IST 2026, 91 W
Thu Jan 22 19:56:11 IST 2026, 82 W
Thu Jan 22 19:56:12 IST 2026, 81 W
Thu Jan 22 19:56:12 IST 2026, 84 W
Thu Jan 22 19:56:12 IST 2026, 93 W
Thu Jan 22 19:56:12 IST 2026, 84 W
Thu Jan 22 19:56:13 IST 2026, 81 W
Thu Jan 22 19:56:13 IST 2026, 85 W
Thu Jan 22 19:56:13 IST 2026, 93 W
Thu Jan 22 19:56:13 IST 2026, 84 W
Thu Jan 22 19:56:14 IST 2026, 80 W
Thu Jan 22 19:56:14 IST 2026, 86 W
Thu Jan 22 19:56:14 IST 2026, 91 W
Thu Jan 22 19:56:14 IST 2026, 84 W
Thu Jan 22 19:56:15 IST 2026, 85 W
Thu Jan 22 19:56:15 IST 2026, 85 W
Thu Jan 22 19:56:15 IST 2026, 93 W
Thu Jan 22 19:56:15 IST 2026, 80 W
Thu Jan 22 19:56:16 IST 2026, 81 W
Thu Jan 22 19:56:16 IST 2026, 85 W
Thu Jan 22 19:56:16 IST 2026, 94 W
Thu Jan 22 19:56:16 IST 2026, 81 W
Thu Jan 22 19:56:17 IST 2026, 81 W
Thu Jan 22 19:56:17 IST 2026, 87 W
Thu Jan 22 19:56:17 IST 2026, 94 W
Thu Jan 22 19:56:17 IST 2026, 82 W
Thu Jan 22 19:56:18 IST 2026, 81 W
Thu Jan 22 19:56:18 IST 2026, 84 W
Thu Jan 22 19:56:18 IST 2026, 91 W
Thu Jan 22 19:56:18 IST 2026, 82 W
Thu Jan 22 19:56:19 IST 2026, 85 W
Thu Jan 22 19:56:19 IST 2026, 82 W
Thu Jan 22 19:56:19 IST 2026, 92 W
Thu Jan 22 19:56:19 IST 2026, 81 W
Thu Jan 22 19:56:20 IST 2026, 84 W
Thu Jan 22 19:56:20 IST 2026, 85 W
Thu Jan 22 19:56:20 IST 2026, 93 W
Thu Jan 22 19:56:20 IST 2026, 79 W
Thu Jan 22 19:56:21 IST 2026, 83 W
Thu Jan 22 19:56:21 IST 2026, 87 W
Thu Jan 22 19:56:21 IST 2026, 92 W
Thu Jan 22 19:56:21 IST 2026, 82 W
Thu Jan 22 19:56:22 IST 2026, 81 W
Thu Jan 22 19:56:22 IST 2026, 87 W
Thu Jan 22 19:56:22 IST 2026, 92 W
Thu Jan 22 19:56:22 IST 2026, 83 W
Thu Jan 22 19:56:23 IST 2026, 102 W
Thu Jan 22 19:56:23 IST 2026, 98 W
Thu Jan 22 19:56:23 IST 2026, 107 W
Thu Jan 22 19:56:23 IST 2026, 98 W
Thu Jan 22 19:56:24 IST 2026, 84 W
Thu Jan 22 19:56:24 IST 2026, 86 W
Thu Jan 22 19:56:24 IST 2026, 93 W
Thu Jan 22 19:56:24 IST 2026, 79 W
Thu Jan 22 19:56:25 IST 2026, 84 W
Thu Jan 22 19:56:25 IST 2026, 87 W
Thu Jan 22 19:56:25 IST 2026, 93 W
Thu Jan 22 19:56:25 IST 2026, 85 W
Thu Jan 22 19:56:26 IST 2026, 82 W
Thu Jan 22 19:56:26 IST 2026, 88 W
Thu Jan 22 19:56:26 IST 2026, 95 W
Thu Jan 22 19:56:26 IST 2026, 80 W
Thu Jan 22 19:56:27 IST 2026, 121 W
Thu Jan 22 19:56:27 IST 2026, 118 W
Thu Jan 22 19:56:27 IST 2026, 128 W
Thu Jan 22 19:56:27 IST 2026, 114 W
Thu Jan 22 19:56:28 IST 2026, 127 W
