timestamp, power.draw [W]
Wed Jan  7 19:40:27 IST 2026, 223 W
Wed Jan  7 19:40:28 IST 2026, 223 W
Wed Jan  7 19:40:29 IST 2026, 223 W
Wed Jan  7 19:40:30 IST 2026, 223 W
Wed Jan  7 19:40:31 IST 2026, 223 W
Wed Jan  7 19:40:32 IST 2026, 584 W
Wed Jan  7 19:40:33 IST 2026, 585 W
Wed Jan  7 19:40:34 IST 2026, 585 W
Wed Jan  7 19:40:35 IST 2026, 583 W
Wed Jan  7 19:40:36 IST 2026, 588 W
Wed Jan  7 19:40:37 IST 2026, 587 W
Wed Jan  7 19:40:38 IST 2026, 585 W
Wed Jan  7 19:40:39 IST 2026, 589 W
Wed Jan  7 19:40:40 IST 2026, 586 W
Wed Jan  7 19:40:41 IST 2026, 587 W
Wed Jan  7 19:40:42 IST 2026, 587 W
Wed Jan  7 19:40:43 IST 2026, 588 W
Wed Jan  7 19:40:44 IST 2026, 582 W
Wed Jan  7 19:40:45 IST 2026, 515 W
Wed Jan  7 19:40:46 IST 2026, 535 W
Wed Jan  7 19:40:47 IST 2026, 588 W
Wed Jan  7 19:40:48 IST 2026, 587 W
Wed Jan  7 19:40:49 IST 2026, 586 W
Wed Jan  7 19:40:50 IST 2026, 587 W
Wed Jan  7 19:40:51 IST 2026, 585 W
Wed Jan  7 19:40:52 IST 2026, 581 W
Wed Jan  7 19:40:53 IST 2026, 587 W
Wed Jan  7 19:40:54 IST 2026, 588 W
Wed Jan  7 19:40:55 IST 2026, 585 W
Wed Jan  7 19:40:56 IST 2026, 590 W
Wed Jan  7 19:40:57 IST 2026, 589 W
Wed Jan  7 19:40:58 IST 2026, 591 W
Wed Jan  7 19:40:59 IST 2026, 590 W
Wed Jan  7 19:41:00 IST 2026, 592 W
Wed Jan  7 19:41:01 IST 2026, 589 W
Wed Jan  7 19:41:02 IST 2026, 581 W
Wed Jan  7 19:41:03 IST 2026, 592 W
Wed Jan  7 19:41:04 IST 2026, 592 W
Wed Jan  7 19:41:05 IST 2026, 593 W
Wed Jan  7 19:41:06 IST 2026, 591 W
Wed Jan  7 19:41:07 IST 2026, 594 W
Wed Jan  7 19:41:08 IST 2026, 593 W
Wed Jan  7 19:41:09 IST 2026, 593 W
Wed Jan  7 19:41:10 IST 2026, 590 W
Wed Jan  7 19:41:11 IST 2026, 590 W
Wed Jan  7 19:41:12 IST 2026, 593 W
Wed Jan  7 19:41:13 IST 2026, 592 W
Wed Jan  7 19:41:14 IST 2026, 593 W
Wed Jan  7 19:41:15 IST 2026, 594 W
Wed Jan  7 19:41:16 IST 2026, 586 W
Wed Jan  7 19:41:17 IST 2026, 592 W
Wed Jan  7 19:41:18 IST 2026, 594 W
Wed Jan  7 19:41:19 IST 2026, 591 W
Wed Jan  7 19:41:20 IST 2026, 588 W
Wed Jan  7 19:41:21 IST 2026, 594 W
Wed Jan  7 19:41:22 IST 2026, 593 W
Wed Jan  7 19:41:23 IST 2026, 593 W
Wed Jan  7 19:41:24 IST 2026, 592 W
Wed Jan  7 19:41:25 IST 2026, 594 W
Wed Jan  7 19:41:26 IST 2026, 544 W
Wed Jan  7 19:41:27 IST 2026, 593 W
Wed Jan  7 19:41:28 IST 2026, 592 W
Wed Jan  7 19:41:29 IST 2026, 593 W
Wed Jan  7 19:41:30 IST 2026, 594 W
Wed Jan  7 19:41:31 IST 2026, 594 W
Wed Jan  7 19:41:32 IST 2026, 593 W
Wed Jan  7 19:41:33 IST 2026, 591 W
Wed Jan  7 19:41:34 IST 2026, 592 W
Wed Jan  7 19:41:35 IST 2026, 593 W
Wed Jan  7 19:41:36 IST 2026, 595 W
Wed Jan  7 19:41:37 IST 2026, 591 W
Wed Jan  7 19:41:38 IST 2026, 594 W
Wed Jan  7 19:41:39 IST 2026, 591 W
Wed Jan  7 19:41:40 IST 2026, 593 W
Wed Jan  7 19:41:41 IST 2026, 592 W
Wed Jan  7 19:41:42 IST 2026, 594 W
Wed Jan  7 19:41:43 IST 2026, 593 W
Wed Jan  7 19:41:44 IST 2026, 595 W
Wed Jan  7 19:41:45 IST 2026, 588 W
