timestamp, power.draw [W]
Wed Jan  7 20:19:46 IST 2026, 223 W
Wed Jan  7 20:19:47 IST 2026, 223 W
Wed Jan  7 20:19:48 IST 2026, 223 W
Wed Jan  7 20:19:49 IST 2026, 223 W
Wed Jan  7 20:19:50 IST 2026, 223 W
Wed Jan  7 20:19:51 IST 2026, 223 W
Wed Jan  7 20:19:52 IST 2026, 223 W
Wed Jan  7 20:19:53 IST 2026, 223 W
Wed Jan  7 20:19:54 IST 2026, 223 W
Wed Jan  7 20:19:55 IST 2026, 223 W
Wed Jan  7 20:19:56 IST 2026, 222 W
Wed Jan  7 20:19:57 IST 2026, 249 W
Wed Jan  7 20:19:58 IST 2026, 222 W
Wed Jan  7 20:19:59 IST 2026, 222 W
Wed Jan  7 20:20:00 IST 2026, 223 W
Wed Jan  7 20:20:01 IST 2026, 577 W
Wed Jan  7 20:20:02 IST 2026, 579 W
Wed Jan  7 20:20:03 IST 2026, 225 W
Wed Jan  7 20:20:04 IST 2026, 394 W
Wed Jan  7 20:20:05 IST 2026, 224 W
Wed Jan  7 20:20:06 IST 2026, 578 W
Wed Jan  7 20:20:07 IST 2026, 231 W
Wed Jan  7 20:20:08 IST 2026, 262 W
Wed Jan  7 20:20:09 IST 2026, 224 W
Wed Jan  7 20:20:10 IST 2026, 582 W
Wed Jan  7 20:20:11 IST 2026, 590 W
Wed Jan  7 20:20:12 IST 2026, 224 W
Wed Jan  7 20:20:13 IST 2026, 224 W
Wed Jan  7 20:20:14 IST 2026, 224 W
Wed Jan  7 20:20:15 IST 2026, 224 W
Wed Jan  7 20:20:16 IST 2026, 481 W
Wed Jan  7 20:20:17 IST 2026, 582 W
Wed Jan  7 20:20:18 IST 2026, 580 W
Wed Jan  7 20:20:19 IST 2026, 577 W
Wed Jan  7 20:20:20 IST 2026, 579 W
Wed Jan  7 20:20:21 IST 2026, 578 W
Wed Jan  7 20:20:22 IST 2026, 586 W
Wed Jan  7 20:20:23 IST 2026, 225 W
Wed Jan  7 20:20:24 IST 2026, 224 W
Wed Jan  7 20:20:25 IST 2026, 224 W
Wed Jan  7 20:20:26 IST 2026, 224 W
Wed Jan  7 20:20:27 IST 2026, 227 W
Wed Jan  7 20:20:28 IST 2026, 585 W
Wed Jan  7 20:20:29 IST 2026, 226 W
Wed Jan  7 20:20:30 IST 2026, 580 W
Wed Jan  7 20:20:31 IST 2026, 579 W
Wed Jan  7 20:20:32 IST 2026, 577 W
Wed Jan  7 20:20:33 IST 2026, 580 W
Wed Jan  7 20:20:34 IST 2026, 579 W
Wed Jan  7 20:20:35 IST 2026, 588 W
Wed Jan  7 20:20:36 IST 2026, 590 W
Wed Jan  7 20:20:37 IST 2026, 586 W
Wed Jan  7 20:20:38 IST 2026, 225 W
Wed Jan  7 20:20:39 IST 2026, 225 W
Wed Jan  7 20:20:40 IST 2026, 224 W
Wed Jan  7 20:20:41 IST 2026, 224 W
Wed Jan  7 20:20:42 IST 2026, 556 W
Wed Jan  7 20:20:43 IST 2026, 576 W
Wed Jan  7 20:20:44 IST 2026, 579 W
Wed Jan  7 20:20:45 IST 2026, 581 W
Wed Jan  7 20:20:46 IST 2026, 580 W
Wed Jan  7 20:20:47 IST 2026, 589 W
Wed Jan  7 20:20:48 IST 2026, 590 W
Wed Jan  7 20:20:49 IST 2026, 590 W
Wed Jan  7 20:20:50 IST 2026, 251 W
Wed Jan  7 20:20:51 IST 2026, 225 W
Wed Jan  7 20:20:52 IST 2026, 224 W
Wed Jan  7 20:20:53 IST 2026, 224 W
Wed Jan  7 20:20:54 IST 2026, 224 W
Wed Jan  7 20:20:55 IST 2026, 586 W
Wed Jan  7 20:20:56 IST 2026, 581 W
Wed Jan  7 20:20:57 IST 2026, 577 W
Wed Jan  7 20:20:58 IST 2026, 584 W
Wed Jan  7 20:20:59 IST 2026, 589 W
Wed Jan  7 20:21:00 IST 2026, 590 W
Wed Jan  7 20:21:01 IST 2026, 225 W
Wed Jan  7 20:21:02 IST 2026, 224 W
Wed Jan  7 20:21:03 IST 2026, 224 W
Wed Jan  7 20:21:04 IST 2026, 224 W
Wed Jan  7 20:21:05 IST 2026, 569 W
Wed Jan  7 20:21:06 IST 2026, 588 W
Wed Jan  7 20:21:07 IST 2026, 581 W
Wed Jan  7 20:21:08 IST 2026, 581 W
Wed Jan  7 20:21:09 IST 2026, 578 W
Wed Jan  7 20:21:10 IST 2026, 581 W
Wed Jan  7 20:21:11 IST 2026, 589 W
Wed Jan  7 20:21:12 IST 2026, 590 W
Wed Jan  7 20:21:13 IST 2026, 589 W
Wed Jan  7 20:21:14 IST 2026, 226 W
Wed Jan  7 20:21:15 IST 2026, 225 W
Wed Jan  7 20:21:16 IST 2026, 224 W
Wed Jan  7 20:21:17 IST 2026, 224 W
Wed Jan  7 20:21:18 IST 2026, 224 W
Wed Jan  7 20:21:19 IST 2026, 590 W
Wed Jan  7 20:21:20 IST 2026, 582 W
Wed Jan  7 20:21:21 IST 2026, 578 W
Wed Jan  7 20:21:22 IST 2026, 580 W
Wed Jan  7 20:21:23 IST 2026, 578 W
Wed Jan  7 20:21:24 IST 2026, 581 W
Wed Jan  7 20:21:25 IST 2026, 590 W
Wed Jan  7 20:21:26 IST 2026, 591 W
Wed Jan  7 20:21:27 IST 2026, 591 W
Wed Jan  7 20:21:28 IST 2026, 226 W
Wed Jan  7 20:21:29 IST 2026, 225 W
Wed Jan  7 20:21:30 IST 2026, 225 W
Wed Jan  7 20:21:31 IST 2026, 225 W
Wed Jan  7 20:21:32 IST 2026, 504 W
Wed Jan  7 20:21:33 IST 2026, 593 W
Wed Jan  7 20:21:34 IST 2026, 578 W
Wed Jan  7 20:21:35 IST 2026, 581 W
Wed Jan  7 20:21:36 IST 2026, 582 W
Wed Jan  7 20:21:37 IST 2026, 587 W
Wed Jan  7 20:21:38 IST 2026, 590 W
Wed Jan  7 20:21:39 IST 2026, 593 W
Wed Jan  7 20:21:40 IST 2026, 228 W
Wed Jan  7 20:21:41 IST 2026, 225 W
Wed Jan  7 20:21:42 IST 2026, 225 W
Wed Jan  7 20:21:43 IST 2026, 225 W
Wed Jan  7 20:21:44 IST 2026, 224 W
Wed Jan  7 20:21:45 IST 2026, 581 W
Wed Jan  7 20:21:46 IST 2026, 583 W
Wed Jan  7 20:21:47 IST 2026, 579 W
Wed Jan  7 20:21:48 IST 2026, 579 W
Wed Jan  7 20:21:49 IST 2026, 579 W
Wed Jan  7 20:21:50 IST 2026, 317 W
Wed Jan  7 20:21:51 IST 2026, 226 W
Wed Jan  7 20:21:52 IST 2026, 225 W
Wed Jan  7 20:21:53 IST 2026, 225 W
Wed Jan  7 20:21:54 IST 2026, 225 W
Wed Jan  7 20:21:55 IST 2026, 553 W
Wed Jan  7 20:21:56 IST 2026, 584 W
Wed Jan  7 20:21:57 IST 2026, 582 W
Wed Jan  7 20:21:58 IST 2026, 577 W
Wed Jan  7 20:21:59 IST 2026, 579 W
Wed Jan  7 20:22:00 IST 2026, 588 W
Wed Jan  7 20:22:01 IST 2026, 590 W
Wed Jan  7 20:22:02 IST 2026, 226 W
Wed Jan  7 20:22:03 IST 2026, 225 W
Wed Jan  7 20:22:04 IST 2026, 225 W
Wed Jan  7 20:22:05 IST 2026, 225 W
Wed Jan  7 20:22:06 IST 2026, 224 W
Wed Jan  7 20:22:07 IST 2026, 511 W
Wed Jan  7 20:22:08 IST 2026, 582 W
Wed Jan  7 20:22:09 IST 2026, 579 W
Wed Jan  7 20:22:10 IST 2026, 577 W
Wed Jan  7 20:22:11 IST 2026, 579 W
Wed Jan  7 20:22:12 IST 2026, 590 W
Wed Jan  7 20:22:13 IST 2026, 227 W
Wed Jan  7 20:22:14 IST 2026, 225 W
Wed Jan  7 20:22:15 IST 2026, 225 W
Wed Jan  7 20:22:16 IST 2026, 225 W
Wed Jan  7 20:22:17 IST 2026, 225 W
Wed Jan  7 20:22:18 IST 2026, 554 W
Wed Jan  7 20:22:19 IST 2026, 582 W
Wed Jan  7 20:22:20 IST 2026, 583 W
Wed Jan  7 20:22:21 IST 2026, 582 W
Wed Jan  7 20:22:22 IST 2026, 580 W
Wed Jan  7 20:22:23 IST 2026, 581 W
Wed Jan  7 20:22:24 IST 2026, 582 W
Wed Jan  7 20:22:25 IST 2026, 580 W
Wed Jan  7 20:22:26 IST 2026, 593 W
Wed Jan  7 20:22:27 IST 2026, 226 W
Wed Jan  7 20:22:28 IST 2026, 225 W
Wed Jan  7 20:22:29 IST 2026, 225 W
Wed Jan  7 20:22:30 IST 2026, 224 W
Wed Jan  7 20:22:31 IST 2026, 537 W
Wed Jan  7 20:22:32 IST 2026, 583 W
Wed Jan  7 20:22:33 IST 2026, 581 W
Wed Jan  7 20:22:34 IST 2026, 581 W
Wed Jan  7 20:22:35 IST 2026, 580 W
Wed Jan  7 20:22:36 IST 2026, 580 W
Wed Jan  7 20:22:37 IST 2026, 582 W
Wed Jan  7 20:22:38 IST 2026, 580 W
Wed Jan  7 20:22:39 IST 2026, 581 W
Wed Jan  7 20:22:40 IST 2026, 226 W
Wed Jan  7 20:22:41 IST 2026, 225 W
Wed Jan  7 20:22:42 IST 2026, 225 W
Wed Jan  7 20:22:43 IST 2026, 225 W
Wed Jan  7 20:22:44 IST 2026, 476 W
Wed Jan  7 20:22:45 IST 2026, 604 W
Wed Jan  7 20:22:46 IST 2026, 584 W
Wed Jan  7 20:22:47 IST 2026, 580 W
