timestamp, power.draw [W]
Wed Jan  7 20:00:44 IST 2026, 223 W
Wed Jan  7 20:00:45 IST 2026, 223 W
Wed Jan  7 20:00:46 IST 2026, 223 W
Wed Jan  7 20:00:47 IST 2026, 223 W
Wed Jan  7 20:00:48 IST 2026, 223 W
Wed Jan  7 20:00:49 IST 2026, 223 W
Wed Jan  7 20:00:50 IST 2026, 223 W
Wed Jan  7 20:00:51 IST 2026, 223 W
Wed Jan  7 20:00:52 IST 2026, 223 W
Wed Jan  7 20:00:53 IST 2026, 223 W
Wed Jan  7 20:00:54 IST 2026, 223 W
Wed Jan  7 20:00:55 IST 2026, 223 W
Wed Jan  7 20:00:56 IST 2026, 223 W
Wed Jan  7 20:00:57 IST 2026, 223 W
Wed Jan  7 20:00:58 IST 2026, 223 W
Wed Jan  7 20:00:59 IST 2026, 573 W
Wed Jan  7 20:01:00 IST 2026, 565 W
Wed Jan  7 20:01:01 IST 2026, 574 W
Wed Jan  7 20:01:02 IST 2026, 225 W
Wed Jan  7 20:01:03 IST 2026, 574 W
Wed Jan  7 20:01:04 IST 2026, 225 W
Wed Jan  7 20:01:05 IST 2026, 586 W
Wed Jan  7 20:01:06 IST 2026, 587 W
Wed Jan  7 20:01:07 IST 2026, 225 W
Wed Jan  7 20:01:08 IST 2026, 587 W
Wed Jan  7 20:01:09 IST 2026, 588 W
Wed Jan  7 20:01:10 IST 2026, 270 W
Wed Jan  7 20:01:11 IST 2026, 224 W
Wed Jan  7 20:01:12 IST 2026, 224 W
Wed Jan  7 20:01:13 IST 2026, 224 W
Wed Jan  7 20:01:14 IST 2026, 224 W
Wed Jan  7 20:01:15 IST 2026, 223 W
Wed Jan  7 20:01:16 IST 2026, 223 W
Wed Jan  7 20:01:17 IST 2026, 576 W
Wed Jan  7 20:01:18 IST 2026, 578 W
Wed Jan  7 20:01:19 IST 2026, 588 W
Wed Jan  7 20:01:20 IST 2026, 585 W
Wed Jan  7 20:01:21 IST 2026, 589 W
Wed Jan  7 20:01:22 IST 2026, 225 W
Wed Jan  7 20:01:23 IST 2026, 224 W
Wed Jan  7 20:01:24 IST 2026, 224 W
Wed Jan  7 20:01:25 IST 2026, 224 W
Wed Jan  7 20:01:26 IST 2026, 224 W
Wed Jan  7 20:01:27 IST 2026, 569 W
Wed Jan  7 20:01:28 IST 2026, 576 W
Wed Jan  7 20:01:29 IST 2026, 575 W
Wed Jan  7 20:01:30 IST 2026, 576 W
Wed Jan  7 20:01:31 IST 2026, 588 W
Wed Jan  7 20:01:32 IST 2026, 226 W
Wed Jan  7 20:01:33 IST 2026, 224 W
Wed Jan  7 20:01:34 IST 2026, 224 W
Wed Jan  7 20:01:35 IST 2026, 224 W
Wed Jan  7 20:01:36 IST 2026, 419 W
Wed Jan  7 20:01:37 IST 2026, 576 W
Wed Jan  7 20:01:38 IST 2026, 576 W
Wed Jan  7 20:01:39 IST 2026, 575 W
Wed Jan  7 20:01:40 IST 2026, 580 W
Wed Jan  7 20:01:41 IST 2026, 590 W
Wed Jan  7 20:01:42 IST 2026, 587 W
Wed Jan  7 20:01:43 IST 2026, 588 W
Wed Jan  7 20:01:44 IST 2026, 280 W
Wed Jan  7 20:01:45 IST 2026, 225 W
Wed Jan  7 20:01:46 IST 2026, 225 W
Wed Jan  7 20:01:47 IST 2026, 224 W
Wed Jan  7 20:01:48 IST 2026, 224 W
Wed Jan  7 20:01:49 IST 2026, 573 W
Wed Jan  7 20:01:50 IST 2026, 571 W
Wed Jan  7 20:01:51 IST 2026, 570 W
Wed Jan  7 20:01:52 IST 2026, 578 W
Wed Jan  7 20:01:53 IST 2026, 260 W
Wed Jan  7 20:01:54 IST 2026, 225 W
Wed Jan  7 20:01:55 IST 2026, 224 W
Wed Jan  7 20:01:56 IST 2026, 224 W
Wed Jan  7 20:01:57 IST 2026, 224 W
Wed Jan  7 20:01:58 IST 2026, 576 W
Wed Jan  7 20:01:59 IST 2026, 579 W
Wed Jan  7 20:02:00 IST 2026, 588 W
Wed Jan  7 20:02:01 IST 2026, 588 W
Wed Jan  7 20:02:02 IST 2026, 227 W
Wed Jan  7 20:02:03 IST 2026, 225 W
Wed Jan  7 20:02:04 IST 2026, 225 W
Wed Jan  7 20:02:05 IST 2026, 225 W
Wed Jan  7 20:02:06 IST 2026, 442 W
Wed Jan  7 20:02:07 IST 2026, 577 W
Wed Jan  7 20:02:08 IST 2026, 585 W
Wed Jan  7 20:02:09 IST 2026, 586 W
Wed Jan  7 20:02:10 IST 2026, 591 W
Wed Jan  7 20:02:11 IST 2026, 225 W
Wed Jan  7 20:02:12 IST 2026, 225 W
Wed Jan  7 20:02:13 IST 2026, 224 W
Wed Jan  7 20:02:14 IST 2026, 224 W
Wed Jan  7 20:02:15 IST 2026, 578 W
Wed Jan  7 20:02:16 IST 2026, 573 W
Wed Jan  7 20:02:17 IST 2026, 585 W
Wed Jan  7 20:02:18 IST 2026, 587 W
Wed Jan  7 20:02:19 IST 2026, 587 W
Wed Jan  7 20:02:20 IST 2026, 589 W
Wed Jan  7 20:02:21 IST 2026, 588 W
Wed Jan  7 20:02:22 IST 2026, 225 W
Wed Jan  7 20:02:23 IST 2026, 225 W
Wed Jan  7 20:02:24 IST 2026, 224 W
Wed Jan  7 20:02:25 IST 2026, 224 W
