timestamp, power.draw [W]
Thu Jan  8 18:26:52 IST 2026, 227 W
Thu Jan  8 18:26:52 IST 2026, 228 W
Thu Jan  8 18:26:52 IST 2026, 232 W
Thu Jan  8 18:26:52 IST 2026, 230 W
Thu Jan  8 18:26:53 IST 2026, 227 W
Thu Jan  8 18:26:53 IST 2026, 228 W
Thu Jan  8 18:26:53 IST 2026, 232 W
Thu Jan  8 18:26:53 IST 2026, 230 W
Thu Jan  8 18:26:54 IST 2026, 227 W
Thu Jan  8 18:26:54 IST 2026, 228 W
Thu Jan  8 18:26:54 IST 2026, 232 W
Thu Jan  8 18:26:54 IST 2026, 230 W
Thu Jan  8 18:26:55 IST 2026, 227 W
Thu Jan  8 18:26:55 IST 2026, 228 W
Thu Jan  8 18:26:55 IST 2026, 232 W
Thu Jan  8 18:26:55 IST 2026, 230 W
Thu Jan  8 18:26:56 IST 2026, 228 W
Thu Jan  8 18:26:56 IST 2026, 229 W
Thu Jan  8 18:26:56 IST 2026, 233 W
Thu Jan  8 18:26:56 IST 2026, 230 W
Thu Jan  8 18:26:57 IST 2026, 228 W
Thu Jan  8 18:26:57 IST 2026, 229 W
Thu Jan  8 18:26:57 IST 2026, 236 W
Thu Jan  8 18:26:57 IST 2026, 231 W
Thu Jan  8 18:26:58 IST 2026, 333 W
Thu Jan  8 18:26:58 IST 2026, 347 W
Thu Jan  8 18:26:58 IST 2026, 343 W
Thu Jan  8 18:26:58 IST 2026, 308 W
Thu Jan  8 18:26:59 IST 2026, 337 W
Thu Jan  8 18:26:59 IST 2026, 337 W
Thu Jan  8 18:26:59 IST 2026, 325 W
Thu Jan  8 18:26:59 IST 2026, 288 W
Thu Jan  8 18:27:00 IST 2026, 338 W
Thu Jan  8 18:27:00 IST 2026, 337 W
Thu Jan  8 18:27:00 IST 2026, 326 W
Thu Jan  8 18:27:00 IST 2026, 292 W
Thu Jan  8 18:27:01 IST 2026, 334 W
Thu Jan  8 18:27:01 IST 2026, 330 W
Thu Jan  8 18:27:01 IST 2026, 314 W
Thu Jan  8 18:27:01 IST 2026, 297 W
Thu Jan  8 18:27:02 IST 2026, 345 W
Thu Jan  8 18:27:02 IST 2026, 355 W
Thu Jan  8 18:27:02 IST 2026, 369 W
Thu Jan  8 18:27:02 IST 2026, 333 W
Thu Jan  8 18:27:03 IST 2026, 337 W
Thu Jan  8 18:27:03 IST 2026, 354 W
Thu Jan  8 18:27:03 IST 2026, 364 W
Thu Jan  8 18:27:03 IST 2026, 346 W
Thu Jan  8 18:27:04 IST 2026, 375 W
Thu Jan  8 18:27:04 IST 2026, 375 W
Thu Jan  8 18:27:04 IST 2026, 382 W
Thu Jan  8 18:27:04 IST 2026, 305 W
Thu Jan  8 18:27:05 IST 2026, 311 W
Thu Jan  8 18:27:05 IST 2026, 350 W
