timestamp, power.draw [W]
Wed Jan  7 19:51:40 IST 2026, 223 W
Wed Jan  7 19:51:40 IST 2026, 223 W
Wed Jan  7 19:51:41 IST 2026, 223 W
Wed Jan  7 19:51:41 IST 2026, 223 W
Wed Jan  7 19:51:42 IST 2026, 223 W
Wed Jan  7 19:51:42 IST 2026, 222 W
Wed Jan  7 19:51:43 IST 2026, 223 W
Wed Jan  7 19:51:43 IST 2026, 222 W
Wed Jan  7 19:51:44 IST 2026, 225 W
Wed Jan  7 19:51:44 IST 2026, 224 W
Wed Jan  7 19:51:45 IST 2026, 399 W
Wed Jan  7 19:51:45 IST 2026, 394 W
Wed Jan  7 19:51:46 IST 2026, 396 W
Wed Jan  7 19:51:46 IST 2026, 399 W
Wed Jan  7 19:51:47 IST 2026, 383 W
Wed Jan  7 19:51:47 IST 2026, 371 W
Wed Jan  7 19:51:48 IST 2026, 391 W
Wed Jan  7 19:51:48 IST 2026, 393 W
Wed Jan  7 19:51:49 IST 2026, 381 W
Wed Jan  7 19:51:49 IST 2026, 373 W
Wed Jan  7 19:51:50 IST 2026, 392 W
Wed Jan  7 19:51:50 IST 2026, 364 W
Wed Jan  7 19:51:51 IST 2026, 409 W
Wed Jan  7 19:51:51 IST 2026, 410 W
Wed Jan  7 19:51:52 IST 2026, 412 W
Wed Jan  7 19:51:52 IST 2026, 416 W
Wed Jan  7 19:51:53 IST 2026, 404 W
Wed Jan  7 19:51:53 IST 2026, 408 W
Wed Jan  7 19:51:54 IST 2026, 411 W
Wed Jan  7 19:51:54 IST 2026, 414 W
Wed Jan  7 19:51:55 IST 2026, 399 W
Wed Jan  7 19:51:55 IST 2026, 407 W
Wed Jan  7 19:51:56 IST 2026, 413 W
Wed Jan  7 19:51:56 IST 2026, 416 W
Wed Jan  7 19:51:57 IST 2026, 417 W
Wed Jan  7 19:51:57 IST 2026, 416 W
Wed Jan  7 19:51:58 IST 2026, 409 W
Wed Jan  7 19:51:58 IST 2026, 419 W
Wed Jan  7 19:51:59 IST 2026, 416 W
Wed Jan  7 19:51:59 IST 2026, 416 W
Wed Jan  7 19:52:00 IST 2026, 407 W
Wed Jan  7 19:52:00 IST 2026, 410 W
Wed Jan  7 19:52:01 IST 2026, 404 W
Wed Jan  7 19:52:01 IST 2026, 402 W
Wed Jan  7 19:52:02 IST 2026, 396 W
Wed Jan  7 19:52:02 IST 2026, 391 W
Wed Jan  7 19:52:03 IST 2026, 393 W
Wed Jan  7 19:52:03 IST 2026, 391 W
Wed Jan  7 19:52:04 IST 2026, 408 W
Wed Jan  7 19:52:04 IST 2026, 410 W
Wed Jan  7 19:52:05 IST 2026, 404 W
Wed Jan  7 19:52:05 IST 2026, 409 W
Wed Jan  7 19:52:06 IST 2026, 400 W
Wed Jan  7 19:52:06 IST 2026, 399 W
Wed Jan  7 19:52:07 IST 2026, 402 W
Wed Jan  7 19:52:07 IST 2026, 402 W
Wed Jan  7 19:52:08 IST 2026, 393 W
Wed Jan  7 19:52:08 IST 2026, 381 W
Wed Jan  7 19:52:09 IST 2026, 401 W
Wed Jan  7 19:52:09 IST 2026, 399 W
Wed Jan  7 19:52:10 IST 2026, 386 W
Wed Jan  7 19:52:10 IST 2026, 383 W
Wed Jan  7 19:52:11 IST 2026, 385 W
Wed Jan  7 19:52:11 IST 2026, 377 W
Wed Jan  7 19:52:12 IST 2026, 386 W
Wed Jan  7 19:52:12 IST 2026, 380 W
Wed Jan  7 19:52:13 IST 2026, 396 W
Wed Jan  7 19:52:13 IST 2026, 384 W
Wed Jan  7 19:52:14 IST 2026, 389 W
Wed Jan  7 19:52:14 IST 2026, 381 W
Wed Jan  7 19:52:15 IST 2026, 374 W
Wed Jan  7 19:52:15 IST 2026, 332 W
Wed Jan  7 19:52:16 IST 2026, 413 W
Wed Jan  7 19:52:16 IST 2026, 424 W
Wed Jan  7 19:52:17 IST 2026, 416 W
Wed Jan  7 19:52:17 IST 2026, 418 W
Wed Jan  7 19:52:18 IST 2026, 410 W
