timestamp, power.draw [W]
Wed Jan  7 20:33:33 IST 2026, 222 W
Wed Jan  7 20:33:33 IST 2026, 222 W
Wed Jan  7 20:33:34 IST 2026, 222 W
Wed Jan  7 20:33:34 IST 2026, 222 W
Wed Jan  7 20:33:35 IST 2026, 223 W
Wed Jan  7 20:33:35 IST 2026, 222 W
Wed Jan  7 20:33:36 IST 2026, 223 W
Wed Jan  7 20:33:36 IST 2026, 222 W
Wed Jan  7 20:33:37 IST 2026, 223 W
Wed Jan  7 20:33:37 IST 2026, 222 W
Wed Jan  7 20:33:38 IST 2026, 223 W
Wed Jan  7 20:33:38 IST 2026, 222 W
Wed Jan  7 20:33:39 IST 2026, 222 W
Wed Jan  7 20:33:39 IST 2026, 222 W
Wed Jan  7 20:33:40 IST 2026, 223 W
Wed Jan  7 20:33:40 IST 2026, 222 W
Wed Jan  7 20:33:41 IST 2026, 222 W
Wed Jan  7 20:33:41 IST 2026, 222 W
Wed Jan  7 20:33:42 IST 2026, 222 W
Wed Jan  7 20:33:42 IST 2026, 222 W
Wed Jan  7 20:33:43 IST 2026, 222 W
Wed Jan  7 20:33:43 IST 2026, 222 W
Wed Jan  7 20:33:44 IST 2026, 223 W
Wed Jan  7 20:33:44 IST 2026, 223 W
Wed Jan  7 20:33:45 IST 2026, 225 W
Wed Jan  7 20:33:45 IST 2026, 223 W
Wed Jan  7 20:33:46 IST 2026, 224 W
Wed Jan  7 20:33:46 IST 2026, 223 W
Wed Jan  7 20:33:47 IST 2026, 224 W
Wed Jan  7 20:33:47 IST 2026, 223 W
Wed Jan  7 20:33:48 IST 2026, 396 W
Wed Jan  7 20:33:48 IST 2026, 395 W
Wed Jan  7 20:33:49 IST 2026, 400 W
Wed Jan  7 20:33:49 IST 2026, 403 W
Wed Jan  7 20:33:50 IST 2026, 226 W
Wed Jan  7 20:33:50 IST 2026, 225 W
Wed Jan  7 20:33:51 IST 2026, 406 W
Wed Jan  7 20:33:51 IST 2026, 399 W
Wed Jan  7 20:33:52 IST 2026, 404 W
Wed Jan  7 20:33:52 IST 2026, 401 W
Wed Jan  7 20:33:53 IST 2026, 225 W
Wed Jan  7 20:33:53 IST 2026, 223 W
Wed Jan  7 20:33:54 IST 2026, 398 W
Wed Jan  7 20:33:54 IST 2026, 405 W
Wed Jan  7 20:33:55 IST 2026, 234 W
Wed Jan  7 20:33:55 IST 2026, 275 W
Wed Jan  7 20:33:56 IST 2026, 226 W
Wed Jan  7 20:33:56 IST 2026, 224 W
Wed Jan  7 20:33:57 IST 2026, 225 W
Wed Jan  7 20:33:57 IST 2026, 232 W
Wed Jan  7 20:33:58 IST 2026, 224 W
Wed Jan  7 20:33:58 IST 2026, 223 W
Wed Jan  7 20:33:59 IST 2026, 399 W
Wed Jan  7 20:33:59 IST 2026, 376 W
