timestamp, power.draw [W]
Wed Jan  7 20:14:42 IST 2026, 222 W
Wed Jan  7 20:14:42 IST 2026, 222 W
Wed Jan  7 20:14:43 IST 2026, 222 W
Wed Jan  7 20:14:43 IST 2026, 222 W
Wed Jan  7 20:14:44 IST 2026, 222 W
Wed Jan  7 20:14:44 IST 2026, 222 W
Wed Jan  7 20:14:45 IST 2026, 222 W
Wed Jan  7 20:14:45 IST 2026, 222 W
Wed Jan  7 20:14:46 IST 2026, 222 W
Wed Jan  7 20:14:46 IST 2026, 222 W
Wed Jan  7 20:14:47 IST 2026, 222 W
Wed Jan  7 20:14:47 IST 2026, 222 W
Wed Jan  7 20:14:48 IST 2026, 222 W
Wed Jan  7 20:14:48 IST 2026, 222 W
Wed Jan  7 20:14:49 IST 2026, 222 W
Wed Jan  7 20:14:49 IST 2026, 222 W
Wed Jan  7 20:14:50 IST 2026, 222 W
Wed Jan  7 20:14:50 IST 2026, 222 W
Wed Jan  7 20:14:51 IST 2026, 222 W
Wed Jan  7 20:14:51 IST 2026, 222 W
Wed Jan  7 20:14:52 IST 2026, 222 W
Wed Jan  7 20:14:52 IST 2026, 222 W
Wed Jan  7 20:14:53 IST 2026, 222 W
Wed Jan  7 20:14:53 IST 2026, 222 W
Wed Jan  7 20:14:54 IST 2026, 223 W
Wed Jan  7 20:14:54 IST 2026, 222 W
Wed Jan  7 20:14:55 IST 2026, 224 W
Wed Jan  7 20:14:55 IST 2026, 258 W
Wed Jan  7 20:14:56 IST 2026, 222 W
Wed Jan  7 20:14:56 IST 2026, 222 W
Wed Jan  7 20:14:57 IST 2026, 223 W
Wed Jan  7 20:14:57 IST 2026, 223 W
Wed Jan  7 20:14:58 IST 2026, 343 W
Wed Jan  7 20:14:58 IST 2026, 320 W
Wed Jan  7 20:14:59 IST 2026, 359 W
Wed Jan  7 20:14:59 IST 2026, 329 W
Wed Jan  7 20:15:00 IST 2026, 379 W
Wed Jan  7 20:15:00 IST 2026, 382 W
Wed Jan  7 20:15:01 IST 2026, 223 W
Wed Jan  7 20:15:01 IST 2026, 223 W
Wed Jan  7 20:15:02 IST 2026, 407 W
Wed Jan  7 20:15:02 IST 2026, 421 W
Wed Jan  7 20:15:03 IST 2026, 270 W
Wed Jan  7 20:15:03 IST 2026, 249 W
Wed Jan  7 20:15:04 IST 2026, 224 W
Wed Jan  7 20:15:04 IST 2026, 224 W
Wed Jan  7 20:15:05 IST 2026, 404 W
Wed Jan  7 20:15:05 IST 2026, 408 W
Wed Jan  7 20:15:06 IST 2026, 412 W
Wed Jan  7 20:15:06 IST 2026, 419 W
Wed Jan  7 20:15:07 IST 2026, 224 W
Wed Jan  7 20:15:07 IST 2026, 224 W
Wed Jan  7 20:15:08 IST 2026, 338 W
Wed Jan  7 20:15:08 IST 2026, 238 W
Wed Jan  7 20:15:09 IST 2026, 421 W
Wed Jan  7 20:15:09 IST 2026, 420 W
Wed Jan  7 20:15:10 IST 2026, 223 W
Wed Jan  7 20:15:10 IST 2026, 223 W
Wed Jan  7 20:15:11 IST 2026, 223 W
Wed Jan  7 20:15:11 IST 2026, 223 W
Wed Jan  7 20:15:12 IST 2026, 223 W
Wed Jan  7 20:15:12 IST 2026, 223 W
Wed Jan  7 20:15:13 IST 2026, 223 W
Wed Jan  7 20:15:13 IST 2026, 223 W
Wed Jan  7 20:15:14 IST 2026, 376 W
Wed Jan  7 20:15:14 IST 2026, 375 W
Wed Jan  7 20:15:15 IST 2026, 381 W
Wed Jan  7 20:15:15 IST 2026, 410 W
Wed Jan  7 20:15:16 IST 2026, 404 W
Wed Jan  7 20:15:16 IST 2026, 413 W
Wed Jan  7 20:15:17 IST 2026, 394 W
Wed Jan  7 20:15:17 IST 2026, 409 W
Wed Jan  7 20:15:18 IST 2026, 417 W
Wed Jan  7 20:15:18 IST 2026, 417 W
Wed Jan  7 20:15:19 IST 2026, 223 W
Wed Jan  7 20:15:19 IST 2026, 223 W
Wed Jan  7 20:15:20 IST 2026, 223 W
Wed Jan  7 20:15:20 IST 2026, 223 W
Wed Jan  7 20:15:21 IST 2026, 223 W
Wed Jan  7 20:15:21 IST 2026, 223 W
Wed Jan  7 20:15:22 IST 2026, 222 W
Wed Jan  7 20:15:22 IST 2026, 223 W
Wed Jan  7 20:15:23 IST 2026, 222 W
Wed Jan  7 20:15:23 IST 2026, 223 W
Wed Jan  7 20:15:24 IST 2026, 222 W
Wed Jan  7 20:15:24 IST 2026, 223 W
Wed Jan  7 20:15:25 IST 2026, 398 W
Wed Jan  7 20:15:25 IST 2026, 414 W
Wed Jan  7 20:15:26 IST 2026, 409 W
Wed Jan  7 20:15:26 IST 2026, 412 W
Wed Jan  7 20:15:27 IST 2026, 400 W
Wed Jan  7 20:15:27 IST 2026, 428 W
Wed Jan  7 20:15:28 IST 2026, 423 W
Wed Jan  7 20:15:28 IST 2026, 427 W
Wed Jan  7 20:15:29 IST 2026, 411 W
Wed Jan  7 20:15:29 IST 2026, 421 W
Wed Jan  7 20:15:30 IST 2026, 404 W
Wed Jan  7 20:15:30 IST 2026, 418 W
Wed Jan  7 20:15:31 IST 2026, 228 W
Wed Jan  7 20:15:31 IST 2026, 225 W
Wed Jan  7 20:15:32 IST 2026, 223 W
Wed Jan  7 20:15:32 IST 2026, 223 W
Wed Jan  7 20:15:33 IST 2026, 223 W
Wed Jan  7 20:15:33 IST 2026, 223 W
Wed Jan  7 20:15:34 IST 2026, 223 W
Wed Jan  7 20:15:34 IST 2026, 223 W
Wed Jan  7 20:15:35 IST 2026, 222 W
Wed Jan  7 20:15:35 IST 2026, 223 W
Wed Jan  7 20:15:36 IST 2026, 414 W
Wed Jan  7 20:15:36 IST 2026, 418 W
Wed Jan  7 20:15:37 IST 2026, 411 W
Wed Jan  7 20:15:37 IST 2026, 427 W
Wed Jan  7 20:15:38 IST 2026, 419 W
Wed Jan  7 20:15:38 IST 2026, 423 W
Wed Jan  7 20:15:39 IST 2026, 420 W
Wed Jan  7 20:15:39 IST 2026, 427 W
Wed Jan  7 20:15:40 IST 2026, 223 W
Wed Jan  7 20:15:40 IST 2026, 223 W
Wed Jan  7 20:15:41 IST 2026, 223 W
Wed Jan  7 20:15:41 IST 2026, 223 W
Wed Jan  7 20:15:42 IST 2026, 223 W
Wed Jan  7 20:15:42 IST 2026, 223 W
Wed Jan  7 20:15:43 IST 2026, 223 W
Wed Jan  7 20:15:43 IST 2026, 223 W
Wed Jan  7 20:15:44 IST 2026, 222 W
Wed Jan  7 20:15:44 IST 2026, 223 W
Wed Jan  7 20:15:45 IST 2026, 418 W
Wed Jan  7 20:15:45 IST 2026, 410 W
Wed Jan  7 20:15:46 IST 2026, 408 W
Wed Jan  7 20:15:46 IST 2026, 417 W
Wed Jan  7 20:15:47 IST 2026, 419 W
Wed Jan  7 20:15:47 IST 2026, 418 W
Wed Jan  7 20:15:48 IST 2026, 415 W
Wed Jan  7 20:15:48 IST 2026, 417 W
Wed Jan  7 20:15:49 IST 2026, 415 W
Wed Jan  7 20:15:49 IST 2026, 424 W
Wed Jan  7 20:15:50 IST 2026, 234 W
Wed Jan  7 20:15:50 IST 2026, 229 W
Wed Jan  7 20:15:51 IST 2026, 223 W
Wed Jan  7 20:15:51 IST 2026, 223 W
Wed Jan  7 20:15:52 IST 2026, 223 W
Wed Jan  7 20:15:52 IST 2026, 223 W
Wed Jan  7 20:15:53 IST 2026, 222 W
Wed Jan  7 20:15:53 IST 2026, 223 W
Wed Jan  7 20:15:54 IST 2026, 223 W
Wed Jan  7 20:15:54 IST 2026, 223 W
Wed Jan  7 20:15:55 IST 2026, 386 W
Wed Jan  7 20:15:55 IST 2026, 393 W
Wed Jan  7 20:15:56 IST 2026, 421 W
Wed Jan  7 20:15:56 IST 2026, 422 W
Wed Jan  7 20:15:57 IST 2026, 425 W
Wed Jan  7 20:15:57 IST 2026, 424 W
Wed Jan  7 20:15:58 IST 2026, 408 W
Wed Jan  7 20:15:58 IST 2026, 409 W
Wed Jan  7 20:15:59 IST 2026, 406 W
Wed Jan  7 20:15:59 IST 2026, 410 W
Wed Jan  7 20:16:00 IST 2026, 408 W
Wed Jan  7 20:16:00 IST 2026, 407 W
Wed Jan  7 20:16:01 IST 2026, 284 W
Wed Jan  7 20:16:01 IST 2026, 431 W
Wed Jan  7 20:16:02 IST 2026, 223 W
Wed Jan  7 20:16:02 IST 2026, 224 W
Wed Jan  7 20:16:03 IST 2026, 223 W
Wed Jan  7 20:16:03 IST 2026, 223 W
Wed Jan  7 20:16:04 IST 2026, 223 W
Wed Jan  7 20:16:04 IST 2026, 223 W
Wed Jan  7 20:16:05 IST 2026, 223 W
Wed Jan  7 20:16:05 IST 2026, 223 W
Wed Jan  7 20:16:06 IST 2026, 224 W
